model_id,technology,series,spec,n,df_resid,first_year,last_year,years,difference,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_slopes_by_technology_spec,inference_scope,country_proxy
pv__KOR__main_level,pv,KOR,main_level,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,const,2.8489817899636107,0.5443641264766508,0.0033716738370456,1.4496492544707031,4.248314325456518,***,,conditional HAC on selected price series,False
pv__KOR__main_level,pv,KOR,main_level,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logQ,-0.6035999212061967,0.0696504010345381,0.0003381675042349,-0.7826419769503651,-0.4245578654620282,***,0.0005636125070581666,conditional HAC on selected price series,False
pv__KOR__main_level,pv,KOR,main_level,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logM,0.0671378841150032,0.065282033979285,0.3509042243076489,-0.1006749266255394,0.2349506948555459,,0.3898935825640543,conditional HAC on selected price series,False
pv__KOR__annual_difference,pv,KOR,annual_difference,5,2,2011,2017,"2011,2012,2013,2016,2017",True,const,-0.0102603140359029,0.673850889290564,0.9892339428932866,-2.909606682250121,2.889086054178315,,,conditional HAC on selected price series,False
pv__KOR__annual_difference,pv,KOR,annual_difference,5,2,2011,2017,"2011,2012,2013,2016,2017",True,logQ,-0.8241786272210858,1.2164807513438705,0.5679489949119405,-6.058272852613603,4.409915598171432,,0.811355707017058,conditional HAC on selected price series,False
pv__KOR__annual_difference,pv,KOR,annual_difference,5,2,2011,2017,"2011,2012,2013,2016,2017",True,logM,0.0416428600704306,0.3095514566876078,0.9053029086637128,-1.2902495600279222,1.3735352801687837,,0.9053029086637128,conditional HAC on selected price series,False
pv__USA__main_level,pv,USA,main_level,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,2.0016384834923326,0.7181987041211438,0.016434918271293,0.4368179327055435,3.566459034279122,**,,conditional HAC on selected price series,False
pv__USA__main_level,pv,USA,main_level,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.4906304306778069,0.0674484777296387,9.816941703619876e-06,-0.6375880392964112,-0.3436728220592026,***,1.963388340723975e-05,conditional HAC on selected price series,False
pv__USA__main_level,pv,USA,main_level,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logM,0.1710368422212794,0.1389404666396517,0.2419022918674039,-0.1316884290526159,0.4737621134951748,,0.30237786483425483,conditional HAC on selected price series,False
pv__USA__annual_difference,pv,USA,annual_difference,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,const,0.0019496310112455,0.1187003133219698,0.9871896069920654,-0.2593079971076065,0.2632072591300976,,,conditional HAC on selected price series,False
