technology,year,n_countries,n_observed,observed_complete,observed,observed_available_subset,observed_weight_coverage,model_factual,model_without_china_contribution,china_contribution_since_2010,procurement_model,other_cost_fitted,P_direct,S_share,T_cn_tariff,K_spillover,G_other,observed_completed,n_imputed,imputed_weight,contains_imputation
pv,2010,10,7,False,,5711.216640350688,0.8255740737759505,7234.108111850086,7234.108111850086,0.0,2831.6283099507145,4402.479801899372,0.0,0.0,0.0,0.0,0.0,5995.678042089248,3,0.17442592622404948,True
pv,2011,10,10,True,5251.896161067226,5251.896161067225,1.0,5184.215570642349,5473.290633079543,289.07506243719365,2115.511926417026,3068.703644225324,197.8834899532,39.91128942733565,0.0,6.188100984871058,45.09218207178687,5251.896161067222,0,0.0,False
pv,2012,10,9,False,,4168.99210914072,0.8722713980121095,3883.9721130313537,4481.524534649606,597.5524216182521,1409.0053245504214,2474.9667884809323,478.041584706919,45.88621640725184,-26.545502192728502,8.993555049129599,91.17656764768007,4443.724451634781,1,0.1277286019878905,True
pv,2013,10,10,True,3670.624715617236,3670.624715617236,1.0,3130.919848959172,3999.1257875961455,868.2059386369737,1075.59299554902,2055.3268534101526,637.5063383877575,73.34453523291879,-58.95745585647482,19.174456773128117,197.138064099644,3670.6247156172344,0,0.0,False
pv,2014,10,10,True,3212.7227404580635,3212.7227404580635,1.0,2798.4923345904217,3649.4391601904144,850.9468255999934,1032.4329683095432,1766.059366280878,616.8850321981342,46.7236510598029,-64.27166655497012,23.65721574403357,227.95259315299305,3212.7227404580617,0,0.0,False
pv,2015,10,9,False,,2274.0176667890723,0.9500140288442236,2405.950707295655,3261.2850128791297,855.334305583475,878.4416191715973,1527.5090881240576,667.5683047380867,59.86260664417645,-58.37744201036938,26.437427026368116,159.84340918521335,2254.3314400727213,1,0.0499859711557763,True
pv,2016,10,8,False,,2081.4045026534777,0.8987343321300945,2004.9442033075777,3031.6942409750445,1026.750037667467,712.4738921629737,1292.470311144604,732.4008731472588,75.71331614446962,-52.30818771215865,33.17479544773774,237.76924064015947,2012.9812566015926,2,0.1012656678699056,True
pv,2017,10,9,False,,1797.7562371378583,0.9487203032858706,1718.277199341609,2807.875629495359,1089.59843015375,619.8243407314994,1098.4528586101096,748.3780305458461,64.38428697951996,-58.46628662066649,41.18585680718439,294.1165424418663,1765.4481006561864,1,0.0512796967141293,True
pv,2018,10,9,False,,1517.6187486461008,0.9487203032858706,1575.2296899955772,2594.45604257813,1019.2263525825526,607.9915527397379,967.2381372558394,789.0017584981233,59.25983592106317,-117.773834084878,42.87987613008115,245.858716118163,1493.135641182509,1,0.0512796967141293,True
pv,2019,10,10,True,1226.9626019596417,1226.9626019596417,1.0,1350.0769689899548,2391.614214407074,1041.5372454171195,484.311939091986,865.7650298979689,849.4153761119453,81.66764107073836,-105.08688256323754,31.425240676446357,184.1158701212271,1226.962601959641,0,0.0,False
