technology,iso3,year,supplier,P0,P1,S0,S1,T0,T1,rent0,rent1,price_weight,tariff_weight,price_gap0,price_gap1
pv,AUS,2010,ARE,3062.9400472240845,3062.9400472240845,0.0002940878279460134,0.0002940878279460134,0.0,0.0,0.0,0.0,0.0002940878279460134,0.9007733856169907,0.0,0.0
pv,AUS,2010,AUS,3062.9400472240845,3062.9400472240845,0.21760853096736835,0.21760853096736835,0.0,0.0,0.0,0.0,0.21760853096736835,666.5218841175548,0.0,0.0
pv,AUS,2010,AUT,3062.9400472240845,3062.9400472240845,0.00016334780816891557,0.00016334780816891557,0.0,0.0,0.0,0.0,0.00016334780816891557,0.5003245432668489,0.0,0.0
pv,AUS,2010,BEL,3062.9400472240845,3062.9400472240845,0.00029159240404185956,0.00029159240404185956,0.0,0.0,0.0,0.0,0.0002915924040418596,0.8931300518061577,0.0,0.0
pv,AUS,2010,BGR,3062.9400472240845,3062.9400472240845,2.402226363084205e-06,2.402226363084205e-06,0.0,0.0,0.0,0.0,2.402226363084205e-06,0.007357875329988076,0.0,0.0
pv,AUS,2010,CAN,3062.9400472240845,3062.9400472240845,0.0015646475156682604,0.0015646475156682604,0.0,0.0,0.0,0.0,0.0015646475156682604,4.792421535529988,0.0,0.0
pv,AUS,2010,CHE,3062.9400472240845,3062.9400472240845,0.009741935980911746,0.009741935980911746,0.0,0.0,0.0,0.0,0.009741935980911746,29.838965853427833,0.0,0.0
pv,AUS,2010,CHN,2270.6250354815543,2270.6250354815543,0.6305809684573503,0.6305809684573503,0.0,0.0,0.0,0.0,0.6305809684573503,1431.812933877464,17.073025874472293,17.073025874472293
pv,AUS,2010,CRI,3062.9400472240845,3062.9400472240845,7.115273808588134e-07,7.115273808588134e-07,0.0,0.0,0.0,0.0,7.115273808588133e-07,0.002179365709528923,0.0,0.0
pv,AUS,2010,CZE,3062.9400472240845,3062.9400472240845,0.004143652886397843,0.004143652886397843,0.0,0.0,0.0,0.0,0.0041436528863978426,12.691760367543624,0.0,0.0
pv,AUS,2010,DEU,2665.423973792646,2665.423973792646,0.01643727494777546,0.01643727494777546,0.0,0.0,0.0,0.0,0.01643727494777546,43.81230670962197,15.230779982589757,15.230779982589757
pv,AUS,2010,DNK,3062.9400472240845,3062.9400472240845,5.1227581741294306e-05,5.1227581741294306e-05,0.0,0.0,0.0,0.0,5.1227581741294306e-05,0.15690701163785567,0.0,0.0
pv,AUS,2010,DOM,3062.9400472240845,3062.9400472240845,6.247819772478144e-06,6.247819772478144e-06,0.0,0.0,0.0,0.0,6.247819772478143e-06,0.019136697388961777,0.0,0.0
pv,AUS,2010,ESP,3062.9400472240845,3062.9400472240845,2.0482549330599842e-05,2.0482549330599842e-05,0.0,0.0,0.0,0.0,2.0482549330599842e-05,0.06273682061393714,0.0,0.0
pv,AUS,2010,FIN,3062.9400472240845,3062.9400472240845,1.2109706137706251e-05,1.2109706137706251e-05,0.0,0.0,0.0,0.0,1.2109706137706251e-05,0.03709130388929577,0.0,0.0
pv,AUS,2010,FJI,3062.9400472240845,3062.9400472240845,1.3483772448348794e-06,1.3483772448348794e-06,0.0,0.0,0.0,0.0,1.3483772448348794e-06,0.004129998661970427,0.0,0.0
pv,AUS,2010,FRA,3062.9400472240845,3062.9400472240845,3.921883960641353e-05,3.921883960641353e-05,0.0,0.0,0.0,0.0,3.9218839606413524e-05,0.12012495443614206,0.0,0.0
pv,AUS,2010,GBR,3062.9400472240845,3062.9400472240845,0.001134392703438246,0.001134392703438246,0.0,0.0,0.0,0.0,0.001134392703438246,3.474576840639798,0.0,0.0
pv,AUS,2010,HKG,3062.9400472240845,3062.9400472240845,0.003384904820643597,0.003384904820643597,0.0,0.0,0.0,0.0,0.003384904820643597,10.36776053119113,0.0,0.0
pv,AUS,2010,HRV,3062.9400472240845,3062.9400472240845,8.256346266556507e-07,8.256346266556507e-07,0.0,0.0,0.0,0.0,8.256346266556508e-07,0.0025288693623584982,0.0,0.0
pv,AUS,2010,HUN,3062.9400472240845,3062.9400472240845,1.0901125204475874e-05,1.0901125204475874e-05,0.0,0.0,0.0,0.0,1.0901125204475874e-05,0.033389492948592996,0.0,0.0
pv,AUS,2010,IDN,3062.9400472240845,3062.9400472240845,0.0003604737507742352,0.0003604737507742352,0.0,0.0,0.0,0.0,0.0003604737507742352,1.1041094872194785,0.0,0.0
pv,AUS,2010,IND,3062.9400472240845,3062.9400472240845,0.01755243476971312,0.01755243476971312,0.0,0.0,0.0,0.0,0.01755243476971312,53.76205538244276,0.0,0.0
pv,AUS,2010,IRL,3062.9400472240845,3062.9400472240845,6.2125719845094866e-06,6.2125719845094866e-06,0.0,0.0,0.0,0.0,6.2125719845094866e-06,0.01902873552761651,0.0,0.0
pv,AUS,2010,ISR,3062.9400472240845,3062.9400472240845,0.00498785055149014,0.00498785055149014,0.0,0.0,0.0,0.0,0.00498785055149014,15.277487203727887,0.0,0.0
pv,AUS,2010,ITA,3062.9400472240845,3062.9400472240845,0.00016638568955570568,0.00016638568955570568,0.0,0.0,0.0,0.0,0.0001663856895557057,0.509629391825165,0.0,0.0
pv,AUS,2010,JOR,3062.9400472240845,3062.9400472240845,8.955327824579017e-07,8.955327824579017e-07,0.0,0.0,0.0,0.0,8.955327824579017e-07,0.0027429632229923214,0.0,0.0
