technology,sample,n,coverage_pct,total_decline,total_decline_pct,P_direct,P_direct_pct,S_share,S_share_pct,T_cn_tariff,T_cn_tariff_pct,K_spillover,K_spillover_pct,G_other,G_other_pct,cn_related_net,cn_related_net_pct,remainder,remainder_pct
pv,main,10,68.14102283543158,5150.693417276401,100.0,1021.2839021893935,19.828085646950253,128.3220236596199,2.4913543335583426,-107.44349520941098,-2.0860005926391416,18.558732331580828,0.3603152202639614,252.58731085724406,4.903947690033703,1313.3084738284274,25.497702298167116,3837.3849434479744,74.5022977018329
wind,main,13,81.7550614434021,1414.8741325256883,100.0,188.40731835172852,13.31618933589542,124.72276854723586,8.815114057148925,1.2328435603424528,0.0871345041937905,64.23632409044282,4.540073396901724,0.0,0.0,378.5992545497496,26.758511294139854,1036.2748779759386,73.24148870586014
wind,without_India,12,70.59415698193236,1559.986907640488,100.0,182.90416400736683,11.724724298104084,119.93164318058874,7.687990366661974,1.4277555726275757,0.09152356123213143,73.34014900898437,4.701331059240288,0.0,0.0,377.60371176956755,24.20556928523848,1182.3831958709206,75.79443071476153
