technology,iso3,year,weight,observed,procurement_model,other_cost_fitted,other_cost_observed,model_factual,Q,Q_ratio,beta_B,G_level_gap,G_anchor,B_fit_outside_year_range,P_direct,S_share,T_cn_tariff,K_spillover,G_other,china_contribution_since_2010,model_without_china_contribution,observed_completed,observation_imputed,completion_method
wind,CAN,2012,0.0501939438218226,3223.160817655416,1488.2571783739918,1556.0552313175276,1734.903639281424,3044.3124096915194,261.36127,0.8334319771249964,-0.2643524831740681,0.0,excluded_for_wind,False,20.98212416036468,114.4308623122099,0.0,48.712288802155975,0.0,184.1252752747305,3228.43768496625,3223.160817655416,False,reported
wind,CAN,2013,0.0501939438218226,3108.906080752496,1527.4401840208948,1510.7414301507536,1581.465896731601,3038.181614171648,292.27612,0.7998293873615128,-0.2643524831740681,0.0,excluded_for_wind,False,0.3761194777675972,-0.0396257368330036,0.0,70.90953344506396,0.0,71.24602718599856,3109.4276413576467,3108.906080752496,False,reported
wind,CAN,2014,0.0501939438218226,2909.720813813772,1397.8075560211169,1450.8087264619446,1511.9132577926553,2848.6162824830617,340.63979000000006,0.7694570854450093,-0.2643524831740681,0.0,excluded_for_wind,False,0.6662288107801295,0.6448820266123095,0.0,78.21785318947786,0.0,79.5289640268703,2928.145246509932,2909.720813813772,False,reported
wind,CAN,2015,0.0501939438218226,3005.7168964844445,1304.2247681576082,1386.61314627567,1701.4921283268363,2690.8379144332785,404.24651,0.7214741816818653,-0.2643524831740681,0.0,excluded_for_wind,False,1.794333505564035,3.536710393572964,0.0,101.80592855002072,0.0,107.13697244915772,2797.9748868824363,3005.7168964844445,False,reported
wind,CAN,2016,0.0501939438218226,2815.1240756907487,1241.2274431972978,1345.8992381394785,1573.8966324934509,2587.1266813367765,452.48745,0.7146964186520532,-0.2643524831740681,0.0,excluded_for_wind,False,5.970176000694985,14.385257770348309,0.0,103.77728262314956,0.0,124.13271639419288,2711.2593977309693,2815.1240756907487,False,reported
wind,CAN,2017,0.0501939438218226,2471.4182906315746,1123.8333629461483,1313.8477412429718,1347.5849276854262,2437.68110418912,495.6822,0.710261574855825,-0.2643524831740681,0.0,excluded_for_wind,False,2.481388546978436,4.095128374177073,0.0,76.30715003102182,0.0,82.88366695217732,2520.5647711412976,2471.4182906315746,False,reported
wind,CAN,2018,0.0501939438218226,2210.71492193368,1040.850679124377,1284.7915734422932,1169.8642428093033,2325.6422525666703,539.4404499999999,0.6995445558448573,-0.2643524831740681,0.0,excluded_for_wind,False,44.75779535122007,97.02335212437276,0.0,84.58270550677905,0.0,226.3638529823719,2552.0061055490423,2210.71492193368,False,reported
wind,CAN,2019,0.0501939438218226,2894.3307568325185,704.4428337885606,1252.3443326255351,2189.887923043958,1956.787166414096,594.24654,0.6876345464291639,-0.2643524831740681,0.0,excluded_for_wind,False,190.44131378924143,376.3783372349942,0.0,60.893779640407445,0.0,627.713430664643,2584.500597078739,2894.3307568325185,False,reported
wind,CAN,2020,0.0501939438218226,1658.650703711003,544.3774990809422,1200.0334734639202,1114.2732046300607,1744.4109725448625,698.33524,0.6349287915070704,-0.2643524831740681,0.0,excluded_for_wind,False,263.9746541830168,480.4852471099997,0.0,67.08214255812901,0.0,811.5420438511454,2555.953016396008,1658.650703711003,False,reported
wind,CAN,2021,0.0501939438218226,1553.9705855540396,498.93225793840105,1169.7305891797607,1055.0383276156383,1668.6628471181618,769.27527,0.6301816773597831,-0.2643524831740681,0.0,excluded_for_wind,False,284.81286283013395,490.0682082230445,0.0,64.09133005755261,0.0,838.972401110731,2507.635248228893,1553.9705855540396,False,reported
