technology,mechanism,amount,total_decline,percentage,label,n
pv,P_direct,1021.2839021893935,5150.693417276401,19.828085646950253,19.8%,10
pv,S_share,128.3220236596199,5150.693417276401,2.4913543335583426,2.5%,10
pv,T_cn_tariff,-107.44349520941098,5150.693417276401,-2.0860005926391416,-2.1%,10
pv,K_spillover,18.558732331580828,5150.693417276401,0.3603152202639614,0.36%,10
pv,G_other,252.58731085724406,5150.693417276401,4.903947690033703,4.9%,10
wind,P_direct,188.40731835172852,1414.8741325256883,13.31618933589542,13.3%,13
wind,S_share,124.72276854723586,1414.8741325256883,8.815114057148925,8.8%,13
wind,T_cn_tariff,1.2328435603424528,1414.8741325256883,0.0871345041937905,0.09%,13
wind,K_spillover,64.23632409044282,1414.8741325256883,4.540073396901724,4.5%,13
