technology,iso3,country,start_year,end_year,method,total_decline,P_direct,S_share,T_cn_tariff,K_spillover,G_other,cn_related_net,remainder,cn_tariff_cost_increase,other_origin_tariff,SDA_interactions,P_pct,S_pct,T_pct,K_pct,G_pct,net_pct,net_additions_2024_mw,common_window,negative_initial_balance,weight
pv,AUS,Australia,2010,2024,Shapley,7282.037669095132,1610.212914959786,124.9650521365189,0.0,5.45108392536501,356.86365899583154,2097.4927100175014,5184.54495907763,-0.0,0.0,0.0,22.11212009783344,1.7160725859311174,0.0,0.0748565741220941,4.900601661405242,28.803650919291886,5323.000000000004,True,False,0.04372104086796168
pv,BRA,Brazil,2010,2024,Shapley,6798.078946200655,1379.237450240469,236.46743352316903,-16.431158915055743,8.470653364514877,369.22592420693314,1976.9703024200303,4821.108643780624,16.431158915055743,-11.378009558460212,0.0,20.288635380018707,3.478444945911185,-0.2417029729294166,0.1246036333433432,5.431327396003367,29.081308382347185,15550.85,True,False,0.12772860198789054
pv,DEU,Germany,2010,2024,Shapley,3819.462950544251,1346.3435145438214,143.07485543218374,0.0,16.173171744053146,117.53259499399832,1623.1241367140567,2196.3388138301943,-0.0,0.0,0.0,35.24955031575775,3.745941701353496,0.0,0.4234409903556876,3.077202122807622,42.49613513027456,15685.0,True,False,0.1288304576392971
pv,ESP,Spain,2010,2024,Shapley,4741.7765895245575,1106.2461895537292,211.4553804939456,0.0,6.172327597699079,219.64108532094767,1543.5149829663214,3198.261606558236,-0.0,0.0,0.0,23.32978301840764,4.459412553537187,0.0,0.1301690934012974,4.632042045299532,32.55140671064565,6243.260000000002,True,False,0.05127969671412931
pv,FRA,France,2010,2024,Shapley,5410.699307984683,1117.5161255202638,245.7737288965602,0.0,10.935095146087567,394.8649353851721,1769.0898849480836,3641.6094230366,-0.0,0.0,0.0,20.65382054905771,4.542365319282605,0.0,0.2021013278255994,7.297853990933511,32.69614118709943,5333.52,True,False,0.04380744803495976
pv,IND,India,2010,2024,Shapley,5490.645156154766,1382.9262040955737,276.290567750548,-209.5020057571145,10.051998081492046,157.42708485014538,1617.1938490206446,3873.4513071341207,209.5020057571145,-455.2629948041845,0.0,25.186952803631385,5.032023740249153,-3.8156172872011616,0.1830749901989971,2.8671873773098726,29.453621624188248,24174.719999999987,True,False,0.19856169849549674
pv,ITA,Italy,2010,2024,Shapley,5274.714075159887,701.9233233403081,-23.18287713484113,0.0,10.558548786557498,243.94700397604225,933.2459989680668,4341.468076191821,-0.0,0.0,0.0,13.3073245931161,-0.439509645537297,0.0,0.2001729124291433,4.62483843673835,17.692826296746297,6085.75,True,False,0.04998597115577636
pv,JPN,Japan,2010,2024,Shapley,4732.825819242991,863.568118490911,800.0556994486501,0.0,111.44667218588924,181.81847654837944,1956.8889666738296,2775.9368525691616,-0.0,0.0,0.0,18.24635326700101,16.904397710892685,0.0,2.3547596392151817,3.84164732640554,41.34715794351442,2533.3300000000017,True,False,0.020807782164575118
pv,KOR,South Korea,2010,2024,Shapley,5750.361703815428,907.7310307664224,124.65136434412688,0.0,41.14586291518621,332.28646156203456,1405.81471958777,4344.546984227658,-0.0,-0.0001836052986336,0.0,15.785633626561836,2.1677134546409373,0.0,0.7155352138611641,5.778531485098735,24.44741378016268,3152.029999999999,True,False,0.0258895420715839
pv,USA,United States,2010,2024,Shapley,4494.391436929972,466.8249416520011,-67.76020198773658,-206.0381831908768,27.31647483887376,291.80959404199115,512.1526253542527,3982.23881157572,206.0381831908768,-130.39612782077646,0.0,10.3868331942818,-1.5076613361034306,-4.584339973102506,0.6077902920163334,6.492749866961308,11.395372044053506,37667.69999999998,True,False,0.30938776086832953
