iso3,year,price,source,scope,period,raw_value,raw_unit,conversion,source_location,Q_global_gw,material,logQ,logM,eligible,logP
JPN,2014,2.5176107562854826,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,2.5176107562854826,2024 USD/W,1.0,JPN__national_market_proxy,172.65223999999998,26.236154197080296,5.151279397977148,3.26713839072327,True,0.9233103391951752
KOR,2014,,,,,,,,,172.65223999999998,26.236154197080296,5.151279397977148,3.26713839072327,False,
CHN,2015,0.6298291681948344,previous IEA-PVPS domestic quote,china_domestic_typical,annual reported quote,0.6298291681948344,2024 USD/W,1.0,CHN__china_domestic_typical,219.86211,23.688526001162742,5.39300057712095,3.164990795937875,True,-0.4623066579630125
USA,2015,0.8682084782452041,NREL Q1 2020 vintage historical series,utility module component,Q1,0.7075911967672891,2019 USD/Wdc,1.2269916333212076,Figures ES-1 and ES-2!G4,219.86211,23.688526001162742,5.39300057712095,3.164990795937875,True,-0.1413234108507973
DEU,2015,0.8828871845364679,Fraunhofer 2026 report Figure 5 / BSW,10-100 kWp rooftop module component,Q4 (annual average FX used),0.6012000000000001,nominal EUR/Wp; digitized,1.468541557778556,"PDF p9, original image year 2015; 2006 anchor 3306.6 EUR/kWp",219.86211,23.688526001162742,5.39300057712095,3.164990795937875,True,-0.1245578503725303
JPN,2015,1.5087755730601602,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,1.5087755730601602,2024 USD/W,1.0,JPN__national_market_proxy,219.86211,23.688526001162742,5.39300057712095,3.164990795937875,True,0.4112984431187065
KOR,2015,1.1381991165190684,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,1.1381991165190684,2024 USD/W,1.0,KOR__national_market_proxy,219.86211,23.688526001162742,5.39300057712095,3.164990795937875,True,0.1294472909777189
CHN,2016,0.5214871782855456,previous IEA-PVPS domestic quote,china_domestic_typical,annual reported quote,0.5214871782855456,2024 USD/W,1.0,CHN__china_domestic_typical,291.30835,18.71342035548105,5.674382328161501,2.929240932529897,True,-0.6510705910649451
USA,2016,0.8457154393798387,NREL Q1 2020 vintage historical series,utility module component,Q1,0.6892593367492371,2019 USD/Wdc,1.2269916333212076,Figures ES-1 and ES-2!H4,291.30835,18.71342035548105,5.674382328161501,2.929240932529897,True,-0.1675723360287633
DEU,2016,0.8568205053073832,Fraunhofer 2026 report Figure 5 / BSW,10-100 kWp rooftop module component,Q4 (annual average FX used),0.5920909090909091,nominal EUR/Wp; digitized,1.4471097126333816,"PDF p9, original image year 2016; 2006 anchor 3306.6 EUR/kWp",291.30835,18.71342035548105,5.674382328161501,2.929240932529897,True,-0.1545268277033877
