model_id,technology,iso3,country,fit_end,spec,G_transform,material_included,n,df_resid,first_year,last_year,observed_years,R2,adjusted_R2,RMSE_log,max_VIF,VIF_G,VIF_Q,VIF_M,joint_F_HAC,joint_p_HAC,outcome,inference
pv_JPN_2022_B,pv,JPN,Japan,2022,B,ln(1+G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9504890298980888,0.939486592097664,0.07902966488086022,21.51830291586138,21.51830291586138,21.518302915861124,,96.75598608321255,8.223621791216318e-07,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_JPN_2022_C,pv,JPN,Japan,2022,C,ln(G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9505146806750131,0.931957685928143,0.07900919027766777,58.26670196732278,49.921250159903245,58.26670196732278,3.0559317564965562,70.91716677209187,4.182686342394088e-06,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_JPN_2022_D,pv,JPN,Japan,2022,D,ln(G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9504890507652425,0.9394866176019631,0.07902964822672953,21.51855410123275,21.51855410123275,21.518554101232542,,96.7559845552508,8.22362234964464e-07,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_KOR_2022_A,pv,KOR,Republic of Korea,2022,A,ln(1+G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9518012661446293,0.9337267409488653,0.11408382268677003,58.26625675906803,49.92082561426128,58.26625675906803,3.0559414398178935,84.3462307939288,2.1441211509767325e-06,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_KOR_2022_B,pv,KOR,Republic of Korea,2022,B,ln(1+G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9260965844566154,0.9096736032247521,0.1412662787991975,21.51830291586138,21.51830291586138,21.518302915861124,,47.78836439693892,1.609287192438259e-05,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_KOR_2022_C,pv,KOR,Republic of Korea,2022,C,ln(G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9518012835655861,0.9337267649026809,0.11408380206953217,58.26670196732278,49.921250159903245,58.26670196732278,3.0559317564965562,84.34625663156437,2.1441186122800025e-06,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_KOR_2022_D,pv,KOR,Republic of Korea,2022,D,ln(G),False,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9260964900729373,0.9096734878669233,0.14126636900630513,21.51855410123275,21.51855410123275,21.518554101232542,,47.788250432347525,1.609302976310335e-05,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_USA_2022_A,pv,USA,United States,2022,A,ln(1+G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9624033405948706,0.9498711207931608,0.10784344935784942,80.04631778236042,63.204525298263775,80.04631778236042,4.4049360005902995,62.67762067068684,2.3614195354689253e-06,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_USA_2022_B,pv,USA,United States,2022,B,ln(1+G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9623556453022729,0.9548267743627274,0.10791183302119474,24.780429522820267,24.780429522820267,24.7804295228202,,107.70886825316296,1.7181440683980545e-07,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_USA_2022_C,pv,USA,United States,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9624032660662919,0.9498710214217225,0.10784355624786526,80.04714180885367,63.205290784125886,80.04714180885367,4.40491992898299,62.677599567409544,2.361422935162471e-06,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_USA_2022_D,pv,USA,United States,2022,D,ln(G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9623555602198328,0.9548266722637994,0.10791195497038143,24.78082005875723,24.78082005875723,24.780820058756955,,107.70931986385038,1.7181096468432676e-07,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_CHN_2024_A,pv,CHN,China,2024,A,ln(1+G),True,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9810514152454793,0.9758836194033373,0.0892936567079623,34.82504363842123,28.670656092885146,34.82504363842123,2.606332927555287,235.68719920811841,2.927555706970282e-10,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_CHN_2024_B,pv,CHN,China,2024,B,ln(1+G),False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.979435493741445,0.9760080760316858,0.09302321869123861,24.252274489840957,24.25227448984083,24.252274489840957,,243.35193277111125,1.9410247322308705e-10,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_CHN_2024_C,pv,CHN,China,2024,C,ln(G),True,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9810514451267196,0.9758836574340067,0.08929358630148371,34.825653674405366,28.6711944075717,34.825653674405366,2.6063367574134286,235.6868063814154,2.927582101373434e-10,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_CHN_2024_D,pv,CHN,China,2024,D,ln(G),False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9794355074844135,0.9760080920651492,0.09302318760818283,24.25269420789404,24.25269420789404,24.25269420789404,,243.35141798740182,1.9410487757212255e-10,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
