iso3,country,year,tic,G_global,logC,logQ,logG,logM,source_sheet,source_cell,model_id,spec,fit_end,fitted_log_cost,residual
CHN,China,2010,4291.432902265811,36781.0,8.36437596600536,3.682166724070565,10.512763874058926,4.456192445165693,Figure 3.3,C7,pv_CHN_2022_A,A,2022,8.55518365096231,-0.19080768495694933
CHN,China,2011,4031.162378781085,40361.90000000001,8.301810044811699,4.252328599622632,10.605666325206338,4.509679808932987,Figure 3.3,D7,pv_CHN_2022_A,A,2022,8.202352178871605,0.09945786594009398
CHN,China,2012,3275.3966683631643,42659.71000000001,8.094194260845795,4.598290072191402,10.661033635112348,3.523311081544699,Figure 3.3,E7,pv_CHN_2022_A,A,2022,7.976720011178349,0.11747424966744546
CHN,China,2013,2520.8503416008384,43732.739,7.83235156072955,4.90117475518874,10.685875142695629,3.015723559908184,Figure 3.3,F7,pv_CHN_2022_A,A,2022,7.77590611709717,0.0564454436323798
CHN,China,2014,2100.065022292831,44962.4651,7.649723586228757,5.151279397977148,10.713605552327314,3.26713839072327,Figure 3.3,G7,pv_CHN_2022_A,A,2022,7.6196803037342296,0.030043282494527368
CHN,China,2015,1622.5553814943787,45982.21859000001,7.391757581428304,5.39300057712095,10.736031795649817,3.164990795937875,Figure 3.3,H7,pv_CHN_2022_A,A,2022,7.463551711236285,-0.07179412980798094
CHN,China,2016,1468.7692152533812,48058.99673100001,7.292180060532598,5.674382328161501,10.780205441271315,2.929240932529897,Figure 3.3,I7,pv_CHN_2022_A,A,2022,7.286023674504371,0.00615638602822699
CHN,China,2017,1377.8666056804332,50808.097057900006,7.228291644043518,5.951553934028465,10.835830693477304,2.891409513410439,Figure 3.3,J7,pv_CHN_2022_A,A,2022,7.116986933333024,0.11130471071049364
CHN,China,2018,1047.2659983319315,54640.287352110005,6.9539382362269855,6.17063993071869,10.908545054584073,2.956890415537674,Figure 3.3,K7,pv_CHN_2022_A,A,2022,6.993186639182573,-0.039248402955587736
CHN,China,2019,946.188254693266,56335.25861689902,6.852441549986699,6.363208897541072,10.939093631999517,2.5071504398904505,Figure 3.3,L7,pv_CHN_2022_A,A,2022,6.868608101541774,-0.016166551555075515
CHN,China,2020,765.8158251007976,59295.73275520909,6.640941703625708,6.566156825734936,10.990309486591185,2.4948890766393457,Figure 3.3,M7,pv_CHN_2022_A,A,2022,6.74820360005478,-0.10726189642907258
CHN,China,2021,713.51431624731,62909.1594796882,6.570202501533129,6.751017535589894,11.049462947605978,3.442230801592228,Figure 3.3,N7,pv_CHN_2022_A,A,2022,6.652910632101705,-0.08270813056857573
CHN,China,2022,759.3280240727838,68369.24353171937,6.632433863312094,6.952593472965691,11.132692972869016,3.62475566987548,Figure 3.3,O7,pv_CHN_2022_A,A,2022,6.545329005512141,0.08710485779995292
CHN,China,2010,4291.432902265811,36781.0,8.36437596600536,3.682166724070565,10.512763874058926,4.456192445165693,Figure 3.3,C7,pv_CHN_2022_B,B,2022,8.554743212350534,-0.19036724634517377
CHN,China,2011,4031.162378781085,40361.90000000001,8.301810044811699,4.252328599622632,10.605666325206338,4.509679808932987,Figure 3.3,D7,pv_CHN_2022_B,B,2022,8.197868329434343,0.1039417153773563
CHN,China,2012,3275.3966683631643,42659.71000000001,8.094194260845795,4.598290072191402,10.661033635112348,3.523311081544699,Figure 3.3,E7,pv_CHN_2022_B,B,2022,7.980906380731767,0.11328788011402757
CHN,China,2013,2520.8503416008384,43732.739,7.83235156072955,4.90117475518874,10.685875142695629,3.015723559908184,Figure 3.3,F7,pv_CHN_2022_B,B,2022,7.781112604919587,0.051238955809963294
CHN,China,2014,2100.065022292831,44962.4651,7.649723586228757,5.151279397977148,10.713605552327314,3.26713839072327,Figure 3.3,G7,pv_CHN_2022_B,B,2022,7.619141814122691,0.03058177210606594
CHN,China,2015,1622.5553814943787,45982.21859000001,7.391757581428304,5.39300057712095,10.736031795649817,3.164990795937875,Figure 3.3,H7,pv_CHN_2022_B,B,2022,7.4607775105049665,-0.06901992907666266
CHN,China,2016,1468.7692152533812,48058.99673100001,7.292180060532598,5.674382328161501,10.780205441271315,2.929240932529897,Figure 3.3,I7,pv_CHN_2022_B,B,2022,7.283957621073954,0.008222439458643649
CHN,China,2017,1377.8666056804332,50808.097057900006,7.228291644043518,5.951553934028465,10.835830693477304,2.891409513410439,Figure 3.3,J7,pv_CHN_2022_B,B,2022,7.114830208368281,0.11346143567523637
CHN,China,2018,1047.2659983319315,54640.287352110005,6.9539382362269855,6.17063993071869,10.908545054584073,2.956890415537674,Figure 3.3,K7,pv_CHN_2022_B,B,2022,6.9931235074100675,-0.039185271183082016
CHN,China,2019,946.188254693266,56335.25861689902,6.852441549986699,6.363208897541072,10.939093631999517,2.5071504398904505,Figure 3.3,L7,pv_CHN_2022_B,B,2022,6.872245734578732,-0.019804184592032925
CHN,China,2020,765.8158251007976,59295.73275520909,6.640941703625708,6.566156825734936,10.990309486591185,2.4948890766393457,Figure 3.3,M7,pv_CHN_2022_B,B,2022,6.752778188804571,-0.11183648517886358
CHN,China,2021,713.51431624731,62909.1594796882,6.570202501533129,6.751017535589894,11.049462947605978,3.442230801592228,Figure 3.3,N7,pv_CHN_2022_B,B,2022,6.649167017744126,-0.07896451621099754
CHN,China,2022,759.3280240727838,68369.24353171937,6.632433863312094,6.952593472965691,11.132692972869016,3.62475566987548,Figure 3.3,O7,pv_CHN_2022_B,B,2022,6.543990429267645,0.08844343404444821
CHN,China,2010,4291.432902265811,36781.0,8.36437596600536,3.682166724070565,10.512736686478211,4.456192445165693,Figure 3.3,C7,pv_CHN_2022_C,C,2022,8.555183751230716,-0.19080778522535624
CHN,China,2011,4031.162378781085,40361.90000000001,8.301810044811699,4.252328599622632,10.605641549672672,4.509679808932987,Figure 3.3,D7,pv_CHN_2022_C,C,2022,8.202352010411046,0.09945803440065326
CHN,China,2012,3275.3966683631643,42659.71000000001,8.094194260845795,4.598290072191402,10.661010194065058,3.523311081544699,Figure 3.3,E7,pv_CHN_2022_C,C,2022,7.976720605329668,0.11747365551612621
CHN,China,2013,2520.8503416008384,43732.739,7.83235156072955,4.90117475518874,10.685852276792648,3.015723559908184,Figure 3.3,F7,pv_CHN_2022_C,C,2022,7.775906557145094,0.056445003584456366
CHN,China,2014,2100.065022292831,44962.4651,7.649723586228757,5.151279397977148,10.713583311801187,3.26713839072327,Figure 3.3,G7,pv_CHN_2022_C,C,2022,7.619680110318087,0.030043475910670026
CHN,China,2015,1622.5553814943787,45982.21859000001,7.391757581428304,5.39300057712095,10.736010048349293,3.164990795937875,Figure 3.3,H7,pv_CHN_2022_C,C,2022,7.463551147498115,-0.07179356606981102
CHN,China,2016,1468.7692152533812,48058.99673100001,7.292180060532598,5.674382328161501,10.780184633729247,2.929240932529897,Figure 3.3,I7,pv_CHN_2022_C,C,2022,7.286023132123566,0.0061569284090321474
