model_id,technology,iso3,country,fit_end,spec,G_transform,material_included,n,df_resid,first_year,last_year,observed_years,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_within_spec_window,p_BH_all_four_specs_window
pv_DEU_2022_B,pv,DEU,Germany,2022,B,ln(1+G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,-10.661809463345833,7.151447063904001,0.16685128648915257,-26.596226514200925,5.27260758750926,,,
pv_DEU_2022_B,pv,DEU,Germany,2022,B,ln(1+G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.8974471324243183,0.12040564588904087,2.1761395897007462e-05,-1.1657276300256227,-0.6291666348230138,***,0.00026113675076408954,0.0006528562029586701
pv_DEU_2022_B,pv,DEU,Germany,2022,B,ln(1+G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,2.1320899904519024,0.7218802506396056,0.01444731287050449,0.5236405575356096,3.7405394233681952,**,0.02889462574100898,0.05770023860748764
pv_DEU_2022_C,pv,DEU,Germany,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,-9.867790598713157,11.314597341017139,0.40580281749210567,-35.46318801850502,15.727606821078709,,,
pv_DEU_2022_C,pv,DEU,Germany,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.8788819701477628,0.22560371695396678,0.003643245612811712,-1.3892330344216877,-0.3685309058738381,***,0.06557842103061082,0.02185976886319348
pv_DEU_2022_C,pv,DEU,Germany,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,2.04652243145771,1.1779673306016807,0.11633756688888341,-0.6182248030710049,4.711269665986425,,0.34901270066665024,0.24929925195580882
pv_DEU_2022_C,pv,DEU,Germany,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logM,0.008429702495250435,0.07140214701194454,0.908613408451166,-0.15309317581098134,0.1699525808014822,,0.9589938889321663,0.9589954078973659
pv_DEU_2022_D,pv,DEU,Germany,2022,D,ln(G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,-10.661492467644933,7.151320942681347,0.1668559400374051,-26.59562850290377,5.2726435676139065,,,
pv_DEU_2022_D,pv,DEU,Germany,2022,D,ln(G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.8974506792733097,0.12040642902284161,2.176187343195567e-05,-1.165732921805462,-0.6291684367411575,***,0.0002611424811834681,0.0006528562029586701
pv_DEU_2022_D,pv,DEU,Germany,2022,D,ln(G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,2.1320665356494715,0.7218703711901617,0.01444711686701588,0.5236391155183204,3.7404939557806225,**,0.02889423373403176,0.05770023860748764
