target,technology,mechanism,value,percentage
USA,pv,P,18.834125352930165,0.4585643989585026
USA,pv,S,1.6831172408648063,0.040979744557863726
USA,pv,T,-5.389559420209755,-0.13122245019969128
USA,pv,K,-30.98432102743528,-0.754391631298804
USA,pv,E,-16.778466782624,-0.408514193860463
USA,wind,P,1.5258562662940487,0.14920737668715708
USA,wind,S,0.2869673285819119,0.028061386408709806
USA,wind,T,0.016075461810903,0.001571955064722447
USA,wind,K,6.036085372811914,0.5902446277750684
DEU,pv,P,23.910158317722164,0.5751671414472235
DEU,pv,S,1.3451593464292348,0.03235827407730964
DEU,pv,T,-3.979113215985731,-0.09571894688112687
DEU,pv,K,-229.62827968002995,-5.52378781704314
DEU,pv,E,-286.3746683885828,-6.888841855884849
DEU,wind,P,25.815060832991165,2.4928395603749993
DEU,wind,S,7.868743396353523,0.7598477088925288
DEU,wind,T,0.0019435664909165,0.000187681116388618
DEU,wind,K,2.978440731823395,0.287614076625878
