target,technology,iso3,supplier,P0,P1,S0,S1,T0,T1,price_weight,tariff_weight,gap0,gap1
CHN,pv,AUS,ARE,3062.9400472240845,252.29920450144743,0.0002940878279460134,9.606458262722031e-05,0.0,0.0,0.00019507620528661686,0.36974316484705366,0.0,0.0
CHN,pv,AUS,AUS,3062.9400472240845,252.29920450144743,0.21760853096736835,0.1283313033730251,0.0,0.0,0.17296991717019672,307.62884790198393,0.0,0.0
CHN,pv,AUS,AUT,3062.9400472240845,252.29920450144743,0.00016334780816891557,0.0,0.0,0.0,8.167390408445779e-05,0.1736436014319617,0.0,0.0
CHN,pv,AUS,BEL,3062.9400472240845,252.29920450144743,0.00029159240404185956,0.0,0.0,0.0,0.00014579620202092978,0.3099714391984569,0.0,0.0
CHN,pv,AUS,BGR,3062.9400472240845,252.29920450144743,2.402226363084205e-06,1.6873990894594214e-05,0.0,0.0,9.638108628839209e-06,0.012586740314483908,0.0,0.0
CHN,pv,AUS,CAN,3062.9400472240845,252.29920450144743,0.0015646475156682604,2.5748834614884005e-05,0.0,0.0,0.0007951981751415723,1.6785770587133122,0.0,0.0
CHN,pv,AUS,CHE,3062.9400472240845,252.29920450144743,0.009741935980911746,0.0,0.0,0.0,0.004870967990455873,10.355969067523956,0.0,0.0
CHN,pv,AUS,CHN,2270.6250354815543,109.4301787373887,0.6305809684573503,0.8595326230450535,0.0,0.0,0.7450567957512021,845.4040609469522,17.073025874472293,42.51497897101304
CHN,pv,AUS,CRI,3062.9400472240845,252.29920450144743,7.115273808588134e-07,0.0,0.0,0.0,3.5576369042940674e-07,0.0007563748685382538,0.0,0.0
CHN,pv,AUS,CZE,3062.9400472240845,252.29920450144743,0.004143652886397843,0.0,0.0,0.0,0.0020718264431989217,4.404826843675925,0.0,0.0
CHN,pv,AUS,DEU,2665.423973792646,283.7183486914308,0.01643727494777546,0.0004015147969489815,0.0,0.0,0.008419394872362223,15.597701886727535,15.230779982589757,80.4622583323853
CHN,pv,AUS,DNK,3062.9400472240845,252.29920450144743,5.1227581741294306e-05,1.3008629600410398e-05,0.0,0.0,3.211810567085235e-05,0.0621912479599749,0.0,0.0
CHN,pv,AUS,DOM,3062.9400472240845,252.29920450144743,6.247819772478144e-06,0.0,0.0,0.0,3.123909886239072e-06,0.006641619122731368,0.0,0.0
CHN,pv,AUS,ESP,3062.9400472240845,252.29920450144743,2.0482549330599842e-05,2.8283882933562045e-05,0.0,0.0,2.4383216132080942e-05,0.0385908686978418,0.0,0.0
CHN,pv,AUS,FIN,3062.9400472240845,252.29920450144743,1.2109706137706251e-05,0.0,0.0,0.0,6.0548530688531255e-06,0.012872979500646855,0.0,0.0
CHN,pv,AUS,FJI,3062.9400472240845,252.29920450144743,1.3483772448348794e-06,1.427142316776678e-06,0.0,0.0,1.387759780805779e-06,0.002281929487965035,0.0,0.0
CHN,pv,AUS,FRA,3062.9400472240845,252.29920450144743,3.921883960641353e-05,5.903861306020099e-06,0.0,0.0,2.256135045621682e-05,0.04520117385931821,0.0,0.0
CHN,pv,AUS,GBR,3062.9400472240845,252.29920450144743,0.001134392703438246,1.1662216062944386e-05,0.0,0.0,0.0005730274597505952,1.2128275770397823,0.0,0.0
CHN,pv,AUS,HKG,3062.9400472240845,252.29920450144743,0.003384904820643597,0.00013771956197484441,0.0,0.0,0.001761312191309221,3.6801416149106245,0.0,0.0
CHN,pv,AUS,HRV,3062.9400472240845,252.29920450144743,8.256346266556507e-07,0.0,0.0,0.0,4.1281731332782537e-07,0.0008776742807051777,0.0,0.0
CHN,pv,AUS,HUN,3062.9400472240845,252.29920450144743,1.0901125204475874e-05,1.6980694447087383e-06,0.0,0.0,6.299597324592306e-06,0.01259787652663139,0.0,0.0
CHN,pv,AUS,IDN,3062.9400472240845,252.29920450144743,0.0003604737507742352,3.1193056123553163e-06,0.0,0.0,0.00018179652819329525,0.3850490762886254,0.0,0.0
CHN,pv,AUS,IND,3062.9400472240845,252.29920450144743,0.01755243476971312,4.286096221126276e-05,0.0,0.0,0.00879764786596219,18.684247370884545,0.0,0.0
CHN,pv,AUS,IRL,3062.9400472240845,252.29920450144743,6.2125719845094866e-06,3.3408719981370405e-06,0.0,0.0,4.7767219913232635e-06,0.008590597892586418,0.0,0.0
CHN,pv,AUS,ISR,3062.9400472240845,252.29920450144743,0.00498785055149014,1.0086935261747525e-05,0.0,0.0,0.002498968743375944,5.308231777203432,0.0,0.0
CHN,pv,AUS,ITA,3062.9400472240845,252.29920450144743,0.00016638568955570568,0.0001368970470247489,0.0,0.0,0.00015164136829022727,0.2582705400950607,0.0,0.0
CHN,pv,AUS,JOR,3062.9400472240845,252.29920450144743,8.955327824579017e-07,0.0,0.0,0.0,4.4776639122895086e-07,0.0009519781091006232,0.0,0.0
CHN,pv,AUS,JPN,6777.605704087598,675.3155443398249,0.032772354755960374,1.0688046669140225e-05,0.0,0.0,0.016391521401314755,77.7424587710428,57.44992627181614,302.21394992065706
CHN,pv,AUS,KHM,3062.9400472240845,252.29920450144743,0.0,2.6007130891104432e-06,0.0,0.0,1.3003565445552216e-06,0.0015463573265023952,0.0,0.0
