target,technology,iso3,year,observed,procurement,B_fit,B_anchor,beta_B,model_factual,capacity_weight,observation_rule,observed_completed,P,S,T,K,E,net,total_decline,remainder,model_without_source_contribution,net_pct
CHN,pv,AUS,2010,8226.006707647639,2666.087536470219,6575.302935539268,5559.91917117742,-0.6311445523247294,9241.390472009487,5323.000000000004,reported,8226.006707647639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9241.390472009487,
CHN,pv,AUS,2011,8070.627916404932,1951.7830260493906,4588.100431885518,6118.844890355542,-0.6311445523247294,6539.8834579349095,5323.000000000004,reported,8070.627916404932,344.36265788570546,14.740980429272447,0.0,2.0300668146859038,98.19644548538221,459.330150615046,155.37879124270694,-303.9513593723391,6999.213608549955,295.6195932156254
CHN,pv,AUS,2012,5845.8413892502,1192.4342491942662,3688.110954154833,4653.407140055934,-0.6311445523247294,4880.545203349099,5323.000000000004,reported,5845.8413892502,828.9382913565837,42.11685117615549,0.0,2.8734090960825363,141.90954661182488,1015.8380982406467,2380.1653183974386,1364.327220156792,5896.383301589746,42.67930846604423
CHN,pv,AUS,2013,3431.1490001785755,860.2898660049309,3046.368948670667,2570.8591341736446,-0.6311445523247294,3906.658814675598,5323.000000000004,reported,3431.1490001785755,1057.6484863654168,76.50996728001226,0.0,5.9679452460522,179.63143597702938,1319.7578348685108,4794.857707469064,3475.0998726005528,5226.416649544109,27.52444212917294
CHN,pv,AUS,2014,3581.3283583559555,857.4327133734384,2601.525984466303,2723.8956449825173,-0.6311445523247294,3458.958697839741,5323.000000000004,reported,3581.3283583559555,1005.1977987602082,9.527140440445324,0.0,6.95851770054727,266.8908477142177,1288.5743046154187,4644.678349291684,3356.1040446762654,4747.5330024551595,27.743025624410073
CHN,pv,AUS,2015,2663.0217981108967,724.9704361883232,2233.4270165617786,1938.0513619225735,-0.6311445523247294,2958.397452750102,5323.000000000004,reported,2663.0217981108967,1095.0976970141542,29.218325908454755,0.0,7.362873875004547,232.68473540523453,1364.363632202848,5562.984909536743,4198.621277333895,4322.76108495295,24.525747496885902
CHN,pv,AUS,2016,2292.9292994915004,567.7810367104781,1870.0115835712204,1725.1482627810224,-0.6311445523247294,2437.7926202816984,5323.000000000004,reported,2292.9292994915004,1220.5235538312345,61.736176879239366,0.0,9.91471957991503,317.8002771401305,1609.9747274305194,5933.0774081561385,4323.102680725619,4047.767347712218,27.135575969686563
CHN,pv,AUS,2017,2346.42868245442,507.80294671927766,1569.8958446438712,1838.6257357351424,-0.6311445523247294,2077.6987913631488,5323.000000000004,reported,2346.42868245442,1203.6404970581923,16.906270637101073,0.0,11.831578063579684,496.27589213904326,1728.6542378979161,5879.578025193219,4150.923787295304,3806.353029261065,29.400991542094687
CHN,pv,AUS,2018,1809.828003777512,438.89349130200554,1367.1582874292396,1370.9345124755066,-0.6311445523247294,1806.0517787312451,5323.000000000004,reported,1809.828003777512,1300.2499785391678,64.06738772801113,0.0,11.487025159315555,402.04801506807655,1777.8524064945714,6416.178703870127,4638.326297375555,3583.9041852258165,27.708897905574265
CHN,pv,AUS,2019,1489.0921446638883,336.0370827124785,1210.6961061267905,1153.05506195141,-0.6311445523247294,1546.733188839269,5323.000000000004,reported,1489.0921446638883,1407.82660225056,91.8994924042321,0.0,9.077665583563062,310.5959898820141,1819.3997501203694,6736.91456298375,4917.514812863381,3366.1329389596385,27.006424574791776
