x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1.000000362,1.013673513,1.029925133,1.036601747,0.960884963,1.000561888,1.047038369,1.035364394,1.038169151,1.054298522,1.068851063,1.080477953,1.091939381,1.104977437
0.999999985,1.052342934,1.105021902,1.150979531,1.157969133,1.250776092,1.257206937,1.31249387,1.353383424,1.389869304,1.424901514,1.459225567,1.492399096,1.526178374
1.000000092,1.021160546,1.032136022,1.032827963,0.995010946,1.027835126,1.04491581,1.072497192,1.088905128,1.107520372,1.124188641,1.139026731,1.154188007,1.168427861
1.000000167,1.026349115,1.051016984,1.069549261,1.057760952,1.099983524,1.124825188,1.136117894,1.159595661,1.184026622,1.207635187,1.230996088,1.254525806,1.278077167
1.000004214,1.027148146,1.051221399,1.067984962,1.017973262,1.072898858,1.106593834,1.128105564,1.147253454,1.170528912,1.191825472,1.213406893,1.234247786,1.255095914
1.000000031,1.056877696,1.103997266,1.146260494,1.069095866,1.099887912,1.193716348,1.226681832,1.268740218,1.309619934,1.349766903,1.382458903,1.414400527,1.44547943
1.000000108,1.044119607,1.091157482,1.143238816,1.109357543,1.156383043,1.194209183,1.254235792,1.287612839,1.354664578,1.372311827,1.412077064,1.430643233,1.449642356
1.000000169,1.058999236,1.116024661,1.143861143,1.055015158,1.151201015,1.219722217,1.299047187,1.366613039,1.430373416,1.495671009,1.562452446,1.631113148,1.701805464
1.000000233,1.017031937,1.030375077,1.035791972,0.972434998,1.016453894,1.045732316,1.046073881,1.048069522,1.062932696,1.07317259,1.08192776,1.091030888,1.100493615
0.999999974,1.021303711,1.048390667,1.070418456,1.043500165,1.10244169,1.119154167,1.14226757,1.167677766,1.183167019,1.200516675,1.219062352,1.237723194,1.256474711
1.000000136,1.024870323,1.051776267,1.05507854,0.96850308,1.036515652,1.087521214,1.131649913,1.166452565,1.190589393,1.221279566,1.25396611,1.287088251,1.320617483
1.000000216,1.016821691,1.038918777,1.055773136,1.024781474,1.081069833,1.12080258,1.159697249,1.190949048,1.223147608,1.256136213,1.289499584,1.324464208,1.36120112
0.999999999,1.029029893,1.046841493,1.065963563,0.991570198,1.058892139,1.09584998,1.102804696,1.112660006,1.134255466,1.158007086,1.180564432,1.201823186,1.221720473
1.000001133,1.016367422,1.0397446,1.06649852,0.966837204,1.063553848,1.134444704,1.163334113,1.19364126,1.223672856,1.252051214,1.276771018,1.303134388,1.330660222
1.000000102,1.027090179,1.065888939,1.098499668,1.074241307,1.15345838,1.143660652,1.196580239,1.244466095,1.274310917,1.296499352,1.31894727,1.341687181,1.364714976
1.000000353,1.0421912,1.097623137,1.156201332,1.190225138,1.217046192,1.288534072,1.32013048,1.338970179,1.378081243,1.420358409,1.466228968,1.517245394,1.568897264
1.000000245,1.042941227,1.07712401,1.099251486,1.095353458,1.09653849,1.092486461,1.088230917,1.08709579,1.091245755,1.097764624,1.10601873,1.116744934,1.129714077
1.000000837,1.012023157,1.028749333,1.03222087,0.969637335,1.024564522,1.052219689,1.066027264,1.083464698,1.106742981,1.13399779,1.163846798,1.196258155,1.231514544
