grid,scenario,year,region,technology,generation_TWh,capacity_proxy_GW,capacity_status,reference_CF,generation_price_2024USD_MWh,capital_efficiency,labor_efficiency,capital_service_expenditure,preference
fiveyear_2050,C,2017,Australia_Oceania,Coal_Power,98.11214069124813,20.363665564808656,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.5500000000000002,146.42874811007317,1.0003736988638863,1.0003736988638863,1.429763984012983,0.5783983901552017
fiveyear_2050,C,2017,Australia_Oceania,Oil_Power,5.684135568850688,2.595495693539127,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.25,509.6174466820963,1.0003736988638863,1.0003736988638863,0.03315326654244541,0.16585709459565143
fiveyear_2050,C,2017,Australia_Oceania,Gas_Power,60.55098794827968,15.36047385801108,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.45000000000000007,128.78971249995033,1.0003736988638863,1.0003736988638863,0.32500687778586584,0.23748166957512384
fiveyear_2050,C,2017,Australia_Oceania,Nuclear,0.8628212001821967,0.12311946349631801,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.8,0.09016123168091256,1.0003736988638863,1.0003736988638863,1.5027920853793526e-6,1.8361596367450394e-9
fiveyear_2050,C,2017,Australia_Oceania,Hydro,68.1090098246474,23.937696775260573,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.3248015544072935,63.70409401735308,1.0000747397727772,1.0000747397727772,2.401278053321809,0.06436896850195421
fiveyear_2050,C,2017,Australia_Oceania,Wind,20.91768086124975,8.758680724349196,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.27262817165792275,36.76279718834449,0.9047175630467402,0.9047175630467402,0.3469774696779557,0.008540477157387793
fiveyear_2050,C,2017,Australia_Oceania,Solar,5.066496545837422,4.644340330457217,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.12453161147665966,56.98015940973215,0.545850260181068,0.545850260181068,0.15689922730367636,0.006997497590196134
fiveyear_2050,C,2017,Australia_Oceania,Biomass,5.98302272636676,1.351801490966916,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.505246862411346,167.59263099381013,1.0003736988638863,1.0003736988638863,0.2603366602122041,0.01947423485008111
fiveyear_2050,C,2017,China,Coal_Power,2841.6128649468787,589.790964081959,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.55,123.27817247568521,0.9999766600003124,0.9999766600003124,21.602228680274358,0.5984389519977391
fiveyear_2050,C,2017,China,Oil_Power,20.308989163070148,9.273511033365365,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.25,903.4306600903426,0.9999766600003124,0.9999766600003124,0.5420358770100914,0.04860878545989456
