grid,scenario,year,next_year,region,interval_years,opening_stock,annual_real_investment,survival,investment_annuity,next_stock,identity_residual
fiveyear_2050,A,2017,2020,Australia_Oceania,3,7073.064722275734,347.2107493778747,0.8573749999999999,2.8525000000000023,7054.687528861546,0.0
fiveyear_2050,A,2017,2020,China,3,62364.78533477783,5124.902055099081,0.8573749999999999,2.8525000000000023,68088.79093857527,-1.8189894035458565e-12
fiveyear_2050,A,2017,2020,Japan,3,29035.81037902832,1240.0791477779308,0.8573749999999999,2.8525000000000023,28431.903692755954,-4.547473508864641e-13
fiveyear_2050,A,2017,2020,South Korea,3,8603.79756451845,464.4749688242971,0.8573749999999999,2.8525000000000023,8701.595785450314,0.0
fiveyear_2050,A,2017,2020,Rest of World,3,488.68481920901684,26.03601587632919,0.8573749999999999,2.8525000000000023,493.2538821565598,0.0
fiveyear_2050,A,2017,2020,Southeast Asia,3,17757.75818786621,799.9215952859885,0.8573749999999999,2.8525000000000023,17506.834276875074,0.0
fiveyear_2050,A,2017,2020,"Central, Western and South Asia",3,32942.48932189941,1162.9970395984053,0.8573749999999999,2.8525000000000023,31561.51583781796,0.0
fiveyear_2050,A,2017,2020,India,3,13251.58929901123,784.9420852547837,0.8573749999999999,2.8525000000000023,13600.628673429024,4.547473508864641e-13
fiveyear_2050,A,2017,2020,Canada,3,5840.570725059509,363.2756707239007,0.8573749999999999,2.8525000000000023,6043.803176137823,-2.2737367544323206e-13
fiveyear_2050,A,2017,2020,United States,3,90537.73082008361,4221.428139177222,0.8573749999999999,2.8525000000000023,89666.41072887222,3.637978807091713e-12
fiveyear_2050,A,2017,2020,Rest of America,3,23629.69450683594,723.9511814712496,0.8573749999999999,2.8525000000000023,22324.580072945202,1.3642420526593924e-12
fiveyear_2050,A,2017,2020,Brazil,3,9257.250686275958,277.6907316633201,0.8573749999999999,2.8525000000000023,8729.04811921547,-9.094947017729282e-13
fiveyear_2050,A,2017,2020,"EU, UK and EFTA",3,94030.86307983397,3717.799013796049,0.8573749999999999,2.8525000000000023,91224.73291992588,5.4569682106375694e-12
fiveyear_2050,A,2017,2020,Eastern Europe,3,1584.7071245193479,61.15735056801366,0.8573749999999999,2.8525000000000023,1533.1396133800347,-5.684341886080802e-14
fiveyear_2050,A,2017,2020,Russia,3,10639.912612152099,338.66477691621543,0.8573749999999999,2.8525000000000023,10088.436351997409,-7.958078640513122e-13
fiveyear_2050,A,2017,2020,North Africa,3,3998.804186660051,150.60889974465388,0.8573749999999999,2.8525000000000023,3858.086626059286,-1.7053025658242404e-13
fiveyear_2050,A,2017,2020,Sub Saharan,3,7142.2684261322,303.7310772196848,0.8573749999999999,2.8525000000000023,6989.995289624246,-3.410605131648481e-13
fiveyear_2050,A,2017,2020,South Africa,3,1823.739908397198,58.234021756201216,0.8573749999999999,2.8525000000000023,1729.7415510216115,2.842170943040401e-14
fiveyear_2050,A,2020,2025,Australia_Oceania,5,7054.687528861546,376.2749089590447,0.7737809374999999,4.524381250000002,7161.193872791804,2.2737367544323206e-13
fiveyear_2050,A,2020,2025,China,5,68088.79093857527,5710.866421813724,0.7737809374999999,4.524381250000002,78523.94544580088,-3.637978807091713e-12
fiveyear_2050,A,2020,2025,Japan,5,28431.903692755954,1272.6917037931048,0.7737809374999999,4.524381250000002,27758.20757596249,-9.094947017729282e-13
fiveyear_2050,A,2020,2025,South Korea,5,8701.595785450314,517.299475629692,0.7737809374999999,4.524381250000002,9073.588992785602,-4.547473508864641e-13
fiveyear_2050,A,2020,2025,Rest of World,5,493.2538821565598,29.196707766914002,0.7737809374999999,4.524381250000002,513.7674885429725,2.842170943040401e-14
fiveyear_2050,A,2020,2025,Southeast Asia,5,17506.834276875074,921.0053243965303,0.7737809374999999,4.524381250000002,17713.43386026736,1.8189894035458565e-12
fiveyear_2050,A,2020,2025,"Central, Western and South Asia",5,31561.51583781796,1322.883341719555,0.7737809374999999,4.524381250000002,30406.927901121173,0.0
fiveyear_2050,A,2020,2025,India,5,13600.628673429024,924.1980575253904,0.7737809374999999,4.524381250000002,14705.33156826959,9.094947017729282e-13
fiveyear_2050,A,2020,2025,Canada,5,6043.803176137823,390.17741248934277,0.7737809374999999,4.524381250000002,6441.8910569377,-4.547473508864641e-13
fiveyear_2050,A,2020,2025,United States,5,89666.41072887222,4512.000272766734,0.7737809374999999,4.524381250000002,89796.1687901475,0.0
fiveyear_2050,A,2020,2025,Rest of America,5,22324.580072945202,758.4390877191449,0.7737809374999999,4.524381250000002,20705.80208588096,-4.547473508864641e-13
fiveyear_2050,A,2020,2025,Brazil,5,8729.04811921547,293.62139906418525,0.7737809374999999,4.524381250000002,8082.826189693925,0.0
fiveyear_2050,A,2020,2025,"EU, UK and EFTA",5,91224.73291992588,3963.065672201385,0.7737809374999999,4.524381250000002,88518.37938179396,3.637978807091713e-12
fiveyear_2050,A,2020,2025,Eastern Europe,5,1533.1396133800347,62.37547117625074,0.7737809374999999,4.524381250000002,1468.524619609335,0.0
fiveyear_2050,A,2020,2025,Russia,5,10088.436351997409,372.43855090631695,0.7737809374999999,4.524381250000002,9491.293734855346,6.821210263296962e-13
fiveyear_2050,A,2020,2025,North Africa,5,3858.086626059286,173.17809604483915,0.7737809374999999,4.524381250000002,3768.837617124336,0.0
fiveyear_2050,A,2020,2025,Sub Saharan,5,6989.995289624246,341.96008878926875,0.7737809374999999,4.524381250000002,6955.882922292535,0.0
