grid,year,region,technology,GDP,GDP_target,capacity_proxy_GW,target_GW,preference,macro_tfp
fiveyear_2050,2017,Australia_Oceania,Solar,1509.4818529812414,1509.4818529802628,7.467249999999998,7.46725,0.006997497590199085,1.0003736988638863
fiveyear_2050,2017,Australia_Oceania,Wind,1509.4818529812414,1509.4818529802628,6.15018,6.150180000000001,0.008540477157491747,1.0003736988638863
fiveyear_2050,2017,Australia_Oceania,Hydro,1509.4818529812414,1509.4818529802628,14.57089209582362,14.570892095829857,0.06436896850195421,1.0003736988638863
fiveyear_2050,2017,Australia_Oceania,Biomass,1509.4818529812414,1509.4818529802628,0.9722179041701452,0.9722179041701452,0.019474234850079104,1.0003736988638863
fiveyear_2050,2017,China,Solar,12578.067455850985,12578.067455852668,130.83228999990482,130.83229,0.029073373323721004,0.9999766600003124
fiveyear_2050,2017,China,Wind,12578.067455850985,12578.067455852668,164.37447999988757,164.37448,0.05500172399024377,0.9999766600003124
fiveyear_2050,2017,China,Hydro,12578.067455850985,12578.067455852668,309.735933990614,309.735933990844,0.08656882854152552,0.9999766600003124
fiveyear_2050,2017,China,Biomass,12578.067455850985,12578.067455852668,15.913006009165366,15.913006009155955,0.3271946838227625,0.9999766600003124
fiveyear_2050,2017,Japan,Solar,4870.185459291352,4870.185459288256,49.499629999856914,49.49963,0.08049894169230364,1.0005827939070984
fiveyear_2050,2017,Japan,Wind,4870.185459291352,4870.185459288256,3.4829299999900685,3.48293,0.013409021546524326,1.0005827939070984
fiveyear_2050,2017,Japan,Hydro,4870.185459291352,4870.185459288256,24.252401960908276,24.25240196097796,0.1213370333528885,1.0005827939070984
fiveyear_2050,2017,Japan,Biomass,4870.185459291352,4870.185459288256,6.361498039014714,6.361498039022046,0.9677782563854045,1.0005827939070984
fiveyear_2050,2017,South Korea,Solar,1533.1525518504866,1533.1525518166202,5.633670000245805,5.63367,0.09397027056338111,1.0005746387521197
fiveyear_2050,2017,South Korea,Wind,1533.1525518504866,1533.1525518166202,1.143410000045139,1.14341,0.02876778822141637,1.0005746387521197
fiveyear_2050,2017,South Korea,Hydro,1533.1525518504866,1533.1525518166202,2.6912808353870945,2.6912808352726114,0.017077830121877212,1.0005746387521197
fiveyear_2050,2017,South Korea,Biomass,1533.1525518504866,1533.1525518166202,1.7066491647572193,1.7066491647273885,0.22525167695431556,1.0005746387521197
fiveyear_2050,2017,Rest of World,Solar,78.07138553624799,78.07138553602339,1.91265,1.91265,0.0017962884833674381,1.0000051947562145
fiveyear_2050,2017,Rest of World,Wind,78.07138553624799,78.07138553602339,0.9499499999922578,0.94995,0.014495427240900688,1.0000051947562145
fiveyear_2050,2017,Rest of World,Hydro,78.07138553624799,78.07138553602339,12.971838822231158,12.97183882233259,0.16189935005187175,1.0000051947562145
fiveyear_2050,2017,Rest of World,Biomass,78.07138553624799,78.07138553602339,0.04101117766715106,0.0410111776674129,0.014201455718526568,1.0000051947562145
fiveyear_2050,2017,Southeast Asia,Solar,2732.7791808742973,2732.779180876116,4.257969999992925,4.25797,0.042358568385701456,1.0000218463859054
fiveyear_2050,2017,Southeast Asia,Wind,2732.7791808742973,2732.779180876116,1.2612399999978419,1.26124,0.005012585008468038,1.0000218463859054
fiveyear_2050,2017,Southeast Asia,Hydro,2732.7791808742973,2732.779180876116,51.87950755201379,51.879507552094886,0.31492632492236466,1.0000218463859054
fiveyear_2050,2017,Southeast Asia,Biomass,2732.7791808742973,2732.779180876116,3.9184224479017304,3.9184224479051175,0.16718530033757883,1.0000218463859054
fiveyear_2050,2017,"Central, Western and South Asia",Solar,4555.629755774982,4555.629755774994,6.880069999992229,6.88007,0.017718916168061496,1.0000632421933142
fiveyear_2050,2017,"Central, Western and South Asia",Wind,4555.629755774982,4555.629755774994,8.087649999990592,8.08765,0.012494063883231531,1.0000632421933142
fiveyear_2050,2017,"Central, Western and South Asia",Hydro,4555.629755774982,4555.629755774994,73.77971542188763,73.77971542197308,0.110784501815573,1.0000632421933142
fiveyear_2050,2017,"Central, Western and South Asia",Biomass,4555.629755774982,4555.629755774994,0.9042245780260666,0.9042245780269248,0.01956542592810417,1.0000632421933142
fiveyear_2050,2017,India,Solar,2597.7972109938078,2597.79721099279,18.25685,18.25685,0.0015267240517946748,0.9999876184984722
fiveyear_2050,2017,India,Wind,2597.7972109938078,2597.79721099279,32.848459999999996,32.84846,0.0009001688393623535,0.9999876184984722
fiveyear_2050,2017,India,Hydro,2597.7972109938078,2597.79721099279,47.02012915412383,47.020129154241936,0.01362748182930793,0.9999876184984722
