scenario,year,region,good,quantity,consumer_price,expenditure_2024USD_bn,real_consumption_2024USD_bn
A,2030,Australia_Oceania,Rice,0.004866262850554796,1.7046095375877928,0.010615513805095409,0.006227533971101586
A,2030,Australia_Oceania,Crops nec,5.889236858080854,1.6689702520012957,12.57847987007358,7.536671286066514
A,2030,Australia_Oceania,"Bovine cattle, sheep and goats, horses",0.1643132015493475,1.6328604532028956,0.34335396770060433,0.2102775931060281
A,2030,Australia_Oceania,Animal products nec,2.12245344480049,1.6786529658468308,4.5595253730996665,2.7161810685356222
A,2030,Australia_Oceania,Forestry,0.13413630270701038,1.794460834243307,0.3080355615712135,0.1716591167521794
A,2030,Australia_Oceania,Coal,0.003022629241875572,2.8338976820117594,0.010961994688425385,0.003868168898827805
A,2030,Australia_Oceania,Oil,1.5515188926467796e-5,1.4933281346266518,2.965055708601078e-5,1.9855351626504632e-5
A,2030,Australia_Oceania,Gas,1.0620073545539743,2.2986139924350297,3.124022205463709,1.3590895290964768
A,2030,Australia_Oceania,Mine,0.06296798770128464,1.6778384653865197,0.135204299678193,0.0805824300118208
A,2030,Australia_Oceania,Manufac,169.38650589691366,1.5835190086100277,343.2595527641916,216.77009090567586
A,2030,Australia_Oceania,Petro,7.935711381943195,2.8837136107284564,29.28589718755132,10.155620219878976
A,2030,Australia_Oceania,Power,10.848757572255915,2.470061080523571,34.29321790596189,13.8835505633367
A,2030,Australia_Oceania,WatWaste,8.690414582856775,1.5105162120594147,16.79911595930715,11.121440357982143
A,2030,Australia_Oceania,OthServ,796.945838125643,1.497579769426357,1527.3526169866366,1019.8806380482488
A,2030,Australia_Oceania,Transport,29.055639655635346,1.353936036403912,50.3441636173962,37.18356205964202
A,2030,China,Rice,30.023860404550785,2.222424300254882,85.39138369800943,38.42262869746755
A,2030,China,Crops nec,231.69899580185935,2.1772701885921797,645.5903342627316,296.51365512498415
A,2030,China,"Bovine cattle, sheep and goats, horses",14.671269521301408,2.1772182127534556,40.87805238255734,18.77535845510006
A,2030,China,Animal products nec,214.5900599234887,2.365325860509023,649.5627665737287,274.6187223001047
A,2030,China,Forestry,2.6286875754895167,1.4896141483162433,5.011102692344955,3.3640271658069536
A,2030,China,Coal,4.899462489060201,2.306446817351531,14.461469427002694,6.270020857244065
A,2030,China,Oil,0.000362721993250829,1.484362422908646,0.0006890240526629635,0.00046418868455772185
A,2030,China,Gas,6.580652459711225,1.825577903862428,15.374105877179698,8.42150304652653
A,2030,China,Mine,0.1978951633418013,1.6389639836995427,0.4150736191510494,0.25325363806688433
A,2030,China,Manufac,3169.7598517300316,1.2285184526713537,4983.432569108597,4056.457304530102
A,2030,China,Petro,132.68390909113543,1.0975807749071802,186.36969361654468,169.80043826793067
A,2030,China,Power,150.14505154547845,1.5063635944361295,289.44188396711235,192.14609614218097
A,2030,China,WatWaste,23.73934387181393,1.0360657695980628,31.47578560858596,30.380103739364554
A,2030,China,OthServ,5990.240160377774,1.0301328384497432,7896.924902535265,7665.928675563717
A,2030,China,Transport,656.1339889464157,0.9177004974376917,770.5734555294403,839.678574604747
A,2030,Japan,Rice,0.03317694717673608,1.4388458484794282,0.06109015557944679,0.04245774878835036
A,2030,Japan,Crops nec,23.690705083345584,1.503713899307702,45.5893859069024,30.31786034638693
A,2030,Japan,"Bovine cattle, sheep and goats, horses",1.3260605237993928,1.3868565763457317,2.35350669750012,1.6970080269536063
A,2030,Japan,Animal products nec,9.500031260160338,1.4242369209841252,17.315212113800957,12.157536365146075
A,2030,Japan,Forestry,1.5941443172469378,1.4276580536501757,2.912543206876576,2.040084677023614
A,2030,Japan,Coal,0.004369210016552857,1.664274377014013,0.00930568589633155,0.005591438769368867
