scenario,year,region,sector,CO2_Mt
A,2030,Canada,Rice,0.30045148606238503
A,2030,Canada,Crops nec,17.231707605654805
A,2030,Canada,"Bovine cattle, sheep and goats, horses",1.1823974230611085
A,2030,Canada,Animal products nec,5.133918323288081
A,2030,Canada,Forestry,7.3886471788051455
A,2030,Canada,Coal,0.3564400928781221
A,2030,Canada,Oil,23.311640378839304
A,2030,Canada,Gas,79.15167708146382
A,2030,Canada,Mine,13.413474304865744
A,2030,Canada,Manufac,67.20922925340352
A,2030,Canada,Petro,23.15045519436897
A,2030,Canada,WatWaste,0.3523655140589619
A,2030,Canada,OthServ,68.07254677347358
A,2030,Canada,Transport,173.8888413357935
A,2030,Canada,Power,175.57304252277237
A,2030,Canada,Households,128.6147684480274
A,2030,United States,Rice,0.5987966539366429
A,2030,United States,Crops nec,39.890134587438446
A,2030,United States,"Bovine cattle, sheep and goats, horses",9.937843870375794
A,2030,United States,Animal products nec,16.96346576767054
A,2030,United States,Forestry,5.510345744819506
A,2030,United States,Coal,5.131475972471737
A,2030,United States,Oil,7.538737195234407
A,2030,United States,Gas,77.75225304395484
A,2030,United States,Mine,21.23791526961364
A,2030,United States,Manufac,410.22945789402934
A,2030,United States,Petro,208.3840437008381
A,2030,United States,WatWaste,6.808481086578276
A,2030,United States,OthServ,360.90573045738205
A,2030,United States,Transport,1538.9689986866242
A,2030,United States,Power,1963.3449624768741
A,2030,United States,Households,1228.1499983904764
A,2030,Rest of America,Rice,1.36422648837478
A,2030,Rest of America,Crops nec,23.10782437715618
A,2030,Rest of America,"Bovine cattle, sheep and goats, horses",3.2196915416963483
A,2030,Rest of America,Animal products nec,8.795677955881581
A,2030,Rest of America,Forestry,2.350344656310623
A,2030,Rest of America,Coal,0.05747364854855151
A,2030,Rest of America,Oil,7.095596211780568
A,2030,Rest of America,Gas,46.75111975767986
A,2030,Rest of America,Mine,35.06382850155665
A,2030,Rest of America,Manufac,200.93656903078835
A,2030,Rest of America,Petro,84.42229934519516
A,2030,Rest of America,WatWaste,3.2843191652502552
A,2030,Rest of America,OthServ,74.36167190136905
A,2030,Rest of America,Transport,439.3553756742494
A,2030,Rest of America,Power,474.6947889052373
A,2030,Rest of America,Households,276.65179663606546
A,2030,Brazil,Rice,0.7652405595354047
A,2030,Brazil,Crops nec,29.554414005649765
A,2030,Brazil,"Bovine cattle, sheep and goats, horses",3.7813458171619496
A,2030,Brazil,Animal products nec,8.501489439639005
A,2030,Brazil,Forestry,1.6913799146233648
A,2030,Brazil,Coal,0.019721525518355366
A,2030,Brazil,Oil,6.730062465053577
A,2030,Brazil,Gas,10.436596558355568
A,2030,Brazil,Mine,15.710482371229848
A,2030,Brazil,Manufac,161.423150497613
A,2030,Brazil,Petro,34.715170119003446
A,2030,Brazil,WatWaste,0.6266577475720269
A,2030,Brazil,OthServ,9.368258147783683
A,2030,Brazil,Transport,202.43463217570343
A,2030,Brazil,Power,137.0818361016403
A,2030,Brazil,Households,107.85817357300748
A,2030,"EU, UK and EFTA",Rice,0.3235774080908644
A,2030,"EU, UK and EFTA",Crops nec,29.137289897405783
A,2030,"EU, UK and EFTA","Bovine cattle, sheep and goats, horses",2.4956921410728996
A,2030,"EU, UK and EFTA",Animal products nec,15.239496725483786
A,2030,"EU, UK and EFTA",Forestry,3.63951368606799
A,2030,"EU, UK and EFTA",Coal,0.16491569743975804
A,2030,"EU, UK and EFTA",Oil,0.9569531048626763
A,2030,"EU, UK and EFTA",Gas,7.165402020246909
A,2030,"EU, UK and EFTA",Mine,6.734853752808431
A,2030,"EU, UK and EFTA",Manufac,313.2456588571807
A,2030,"EU, UK and EFTA",Petro,99.06551478983127
A,2030,"EU, UK and EFTA",WatWaste,2.987570684401155
A,2030,"EU, UK and EFTA",OthServ,177.2704318360298
A,2030,"EU, UK and EFTA",Transport,832.2911468487063
A,2030,"EU, UK and EFTA",Power,391.13354920639233
A,2030,"EU, UK and EFTA",Households,652.1168864261798
A,2030,Eastern Europe,Rice,0.26004880632542143
A,2030,Eastern Europe,Crops nec,11.512873435125881
A,2030,Eastern Europe,"Bovine cattle, sheep and goats, horses",0.43368627065392684
A,2030,Eastern Europe,Animal products nec,3.7144585252328772
A,2030,Eastern Europe,Forestry,0.4322095865901641
A,2030,Eastern Europe,Coal,0.2657488657390066
A,2030,Eastern Europe,Oil,0.12988185493768034
A,2030,Eastern Europe,Gas,2.5514514598161027
A,2030,Eastern Europe,Mine,2.99345239042852
A,2030,Eastern Europe,Manufac,63.04876420137964
A,2030,Eastern Europe,Petro,10.012726236066511
A,2030,Eastern Europe,WatWaste,0.5055792426229213
A,2030,Eastern Europe,OthServ,9.220819747874422
A,2030,Eastern Europe,Transport,68.12458873443308
A,2030,Eastern Europe,Power,242.5184219098582
A,2030,Eastern Europe,Households,59.507283831070545
A,2030,Russia,Rice,0.7305464896245261
A,2030,Russia,Crops nec,13.48975598144288
A,2030,Russia,"Bovine cattle, sheep and goats, horses",0.24485296238416476
A,2030,Russia,Animal products nec,5.354276566130858
A,2030,Russia,Forestry,4.272554547613672
A,2030,Russia,Coal,9.764587547267466
A,2030,Russia,Oil,2.4718863420933577
A,2030,Russia,Gas,30.718683380882627
A,2030,Russia,Mine,13.283472544594517
A,2030,Russia,Manufac,309.9668866656687
A,2030,Russia,Petro,36.71813257308198
A,2030,Russia,WatWaste,2.241415125503355
A,2030,Russia,OthServ,43.487521631956255
A,2030,Russia,Transport,263.3037625412606
A,2030,Russia,Power,1162.862597621111
A,2030,Russia,Households,290.62711371653734
A,2030,North Africa,Rice,0.4237315155272099
A,2030,North Africa,Crops nec,6.745672331678166
A,2030,North Africa,"Bovine cattle, sheep and goats, horses",0.38139650485293486
A,2030,North Africa,Animal products nec,3.1330633971448028
A,2030,North Africa,Forestry,0.44362019391996643
A,2030,North Africa,Coal,0.2822524801173942
A,2030,North Africa,Oil,1.2803544024625955
A,2030,North Africa,Gas,15.498080756147404
A,2030,North Africa,Mine,9.09360918537089
A,2030,North Africa,Manufac,90.02924724953841
A,2030,North Africa,Petro,19.736318498688345
A,2030,North Africa,WatWaste,0.6713060827464594
A,2030,North Africa,OthServ,29.47529094620043
A,2030,North Africa,Transport,211.34334507505454
A,2030,North Africa,Power,293.9142209243843
A,2030,North Africa,Households,148.34331884481716
A,2030,Sub Saharan,Rice,0.03160237770096806
A,2030,Sub Saharan,Crops nec,2.426147789933183
A,2030,Sub Saharan,"Bovine cattle, sheep and goats, horses",0.2722099557107921
A,2030,Sub Saharan,Animal products nec,3.016750227560651
A,2030,Sub Saharan,Forestry,1.1631630189449327
A,2030,Sub Saharan,Coal,0.11654378129728493
A,2030,Sub Saharan,Oil,0.7354007810275188
A,2030,Sub Saharan,Gas,5.798550373395072
A,2030,Sub Saharan,Mine,10.90614932088007
A,2030,Sub Saharan,Manufac,51.571375851073654
A,2030,Sub Saharan,Petro,9.201365822436344
A,2030,Sub Saharan,WatWaste,1.34340779059255
A,2030,Sub Saharan,OthServ,30.074734823661135
A,2030,Sub Saharan,Transport,188.2451520308466
A,2030,Sub Saharan,Power,126.38588763812793
A,2030,Sub Saharan,Households,97.50083484791845
A,2030,South Africa,Rice,0.005113655896594117
A,2030,South Africa,Crops nec,3.69185658366152
A,2030,South Africa,"Bovine cattle, sheep and goats, horses",0.4734739859615819
A,2030,South Africa,Animal products nec,4.238172421756763
A,2030,South Africa,Forestry,0.359609471522015
A,2030,South Africa,Coal,0.027434889323691192
A,2030,South Africa,Oil,0.0005802754804265315
A,2030,South Africa,Gas,0.075869041102211
A,2030,South Africa,Mine,9.483852001385772
A,2030,South Africa,Manufac,50.056251776154156
A,2030,South Africa,Petro,63.222889736096924
A,2030,South Africa,WatWaste,0.2942118179731309
A,2030,South Africa,OthServ,27.46377178191112
A,2030,South Africa,Transport,46.66606177169189
A,2030,South Africa,Power,210.89085212216207
A,2030,South Africa,Households,48.92788311236308
A,2050,Australia_Oceania,Rice,0.057873868979416626
A,2050,Australia_Oceania,Crops nec,14.9447821186474
A,2050,Australia_Oceania,"Bovine cattle, sheep and goats, horses",4.083160296786404
A,2050,Australia_Oceania,Animal products nec,8.060483105903549
A,2050,Australia_Oceania,Forestry,4.478953477458285
A,2050,Australia_Oceania,Coal,7.168110303995171
A,2050,Australia_Oceania,Oil,0.13996573026399267
A,2050,Australia_Oceania,Gas,3.0320777935111005
A,2050,Australia_Oceania,Mine,35.82504124845896
A,2050,Australia_Oceania,Manufac,40.125742195093125
A,2050,Australia_Oceania,Petro,25.368234029540574
A,2050,Australia_Oceania,WatWaste,0.6237766877502235
A,2050,Australia_Oceania,OthServ,36.47674613768013
A,2050,Australia_Oceania,Transport,183.8740377769871
A,2050,Australia_Oceania,Power,246.69769930604872
A,2050,Australia_Oceania,Households,129.64318196255536
A,2050,China,Rice,18.31970987650096
A,2050,China,Crops nec,99.53461646848078
A,2050,China,"Bovine cattle, sheep and goats, horses",5.756688715121539
A,2050,China,Animal products nec,69.9039242173769
A,2050,China,Forestry,13.87613083389423
A,2050,China,Coal,28.54905315119626
A,2050,China,Oil,5.724689794471086
A,2050,China,Gas,36.44477492009321
A,2050,China,Mine,69.51419158405027
A,2050,China,Manufac,2438.5167149097133
A,2050,China,Petro,525.9621217801556
A,2050,China,WatWaste,0.5628808494656172
A,2050,China,OthServ,317.04665485526425
A,2050,China,Transport,1417.3113580541685
A,2050,China,Power,4426.793045492711
A,2050,China,Households,1952.228914194678
A,2050,Japan,Rice,2.9027657412193393
A,2050,Japan,Crops nec,14.820426787177235
A,2050,Japan,"Bovine cattle, sheep and goats, horses",0.382664840457665
A,2050,Japan,Animal products nec,20.005693973951296
A,2050,Japan,Forestry,2.2275148131836717
A,2050,Japan,Coal,0.0021406153637370928
A,2050,Japan,Oil,0.004064676396204604
A,2050,Japan,Gas,0.27912039460309146
A,2050,Japan,Mine,4.610006768212772
A,2050,Japan,Manufac,498.5719116382073
A,2050,Japan,Petro,121.9647187485922
A,2050,Japan,WatWaste,11.882737344912956
A,2050,Japan,OthServ,214.66995497371136
A,2050,Japan,Transport,299.37919269201416
A,2050,Japan,Power,721.2193521096402
A,2050,Japan,Households,280.31386467449175
A,2050,South Korea,Rice,1.6754130256515924
A,2050,South Korea,Crops nec,2.8689630998414484
A,2050,South Korea,"Bovine cattle, sheep and goats, horses",0.25177409020693514
A,2050,South Korea,Animal products nec,10.208855718049016
A,2050,South Korea,Forestry,0.37168285093358283
A,2050,South Korea,Coal,0.026686602804755842
A,2050,South Korea,Oil,0.07599012029308898
A,2050,South Korea,Gas,3.3236361303913178
A,2050,South Korea,Mine,1.6589841464060218
A,2050,South Korea,Manufac,91.60062159246178
A,2050,South Korea,Petro,152.14144594793243
A,2050,South Korea,WatWaste,1.165059422291785
