scenario,year,region,fuel,household_Mtoe,nonenergy_industries_Mtoe,energy_industries_Mtoe,power_sector_Mtoe,modeled_final_demand_Mtoe
A,2017,Australia_Oceania,Coal,0.017620193566398688,1.9964950462581645,3.8561011877169697,35.84382750712207,2.014115239824563
A,2017,Australia_Oceania,Oil,3.1687130686091e-5,0.03270238295335333,26.906678088342908,0.021983049651123382,0.03273407008403942
A,2017,Australia_Oceania,Gas,3.844555947035276,11.13536723618834,7.7256169377379,14.731434173200562,14.979923183223617
A,2017,Australia_Oceania,Oil_pct,12.654054093210402,45.96847842214106,7.3601786492441645,3.4362279419192916,58.622532515351466
A,2017,Australia_Oceania,Electricity,6.728425862355493,16.271054121982985,1.5109843637080183,1.4288944081786936,22.99947998433848
A,2017,China,Coal,43.020704435685715,429.6993813608897,449.7244823551401,1100.0841600181336,472.7200857965754
A,2017,China,Oil,0.0006583464253703974,1.2214070590206696,627.2860590137828,0.2415210512462268,1.22206540544604
A,2017,China,Gas,72.01580285057125,109.09532664451446,16.561896588826308,38.77009580345079,181.11112949508572
A,2017,China,Oil_pct,147.950325921971,632.5326472311103,248.04217950175718,63.598953560578146,780.4829731530813
A,2017,China,Electricity,109.53580716495912,516.384343786968,32.601823576445526,44.73598779085588,625.9201509519271
A,2017,Japan,Coal,0.023671553219174916,7.192444847661818,42.36197222334615,60.6297939338109,7.216116400880993
A,2017,Japan,Oil,0.00032421778267532295,0.03723129659440273,149.641917045449,1.5567718352241604,0.037555514377078054
A,2017,Japan,Gas,9.12181226813665,20.541884474986368,3.6077987494486434,72.14397425640823,29.66369674312302
A,2017,Japan,Oil_pct,39.713487982588376,130.4340779632981,38.31584425651358,19.34049997878013,170.14756594588647
A,2017,Japan,Electricity,24.164479189897445,60.91245550407212,1.109667278600757,3.0071965300337826,85.07693469396956
A,2017,South Korea,Coal,0.5551462048494061,2.379415698773295,24.885941604236827,41.52457287062134,2.934561903622701
A,2017,South Korea,Oil,3.0153667744532513e-5,0.0360063145635534,147.03531056766138,0.00016749256101354946,0.036036468231297934
A,2017,South Korea,Gas,9.554711570804457,11.700033289363574,0.2584321123307449,21.754568400601197,21.25474486016803
A,2017,South Korea,Oil_pct,12.626127786320566,94.40653962485706,39.98787699431576,6.441512609197504,107.03266741117763
A,2017,South Korea,Electricity,7.52946254721053,39.6281555872892,1.075891592223254,1.829548860423158,47.15761813449973
