scenario,year,region,sector,real_output,labor_demand,capital_demand
A,2017,Australia_Oceania,Rice,0.20891159255166172,0.045351284295558805,0.025270218801088984
A,2017,Australia_Oceania,Crops nec,34.39607367653086,7.432773569217898,3.987633077716324
A,2017,Australia_Oceania,"Bovine cattle, sheep and goats, horses",12.843275791351587,2.9492806567000356,1.4666205557031704
A,2017,Australia_Oceania,Animal products nec,24.360861969671593,5.588674543836897,3.0253017583833244
A,2017,Australia_Oceania,Forestry,9.927677410206966,1.2951481999797694,2.45887544529803
A,2017,Australia_Oceania,Coal,55.2836308334407,3.066433201031305,16.277364200577424
A,2017,Australia_Oceania,Oil,6.92340497729275,0.27557889055972346,2.1890673734092587
A,2017,Australia_Oceania,Gas,40.68460273314526,2.253484295936035,16.11602221472681
A,2017,Australia_Oceania,Mine,118.90929927881521,13.715051965148376,40.106568060660926
A,2017,Australia_Oceania,Manufac,341.9714344871069,66.1688627695729,36.723104055740535
A,2017,Australia_Oceania,Petro,19.027367599055115,0.2957777207550565,1.314166132299244
A,2017,Australia_Oceania,Power,40.79609075609635,4.083812522506759,11.114403574678844
A,2017,Australia_Oceania,WatWaste,29.87336166406483,5.15091531201188,8.105613541097814
A,2017,Australia_Oceania,OthServ,2189.7854035931637,623.8751156101102,400.7080502565361
A,2017,Australia_Oceania,Transport,130.29826881259802,27.631803251519845,22.22711731642972
A,2017,China,Rice,115.55330276876042,30.83106257629687,27.290180238046997
A,2017,China,Crops nec,731.690142176539,197.8783566647078,163.87883014449875
A,2017,China,"Bovine cattle, sheep and goats, horses",90.76929884142469,18.736169744834772,14.995951584344079
A,2017,China,Animal products nec,452.86956524108007,112.79526017617684,49.41119096545513
A,2017,China,Forestry,76.75102975826456,43.16415087627602,2.2575853376137864
A,2017,China,Coal,177.06765750580448,31.1086907273034,22.342036111676972
A,2017,China,Oil,59.49903029603027,5.8027295700513175,12.321325674782598
A,2017,China,Gas,7.569385859547639,0.2196257286851184,0.25316572264149123
