scenario,year,region,wage,household_price_index,government_income,exports_FOB,imports_CIF,foreign_saving,capital_return
A,2017,Australia_Oceania,0.9937057610248227,1.060247130415237,483.2830545282097,392.3828235276179,373.83766824318144,-28.861806758880604,0.9904328832416575
A,2017,China,1.0000283193853148,1.0661806932487907,2582.8594552590735,2880.1909211428165,2673.0455329089896,-291.5860937271117,1.0000222692223144
A,2017,Japan,1.0016025165702245,1.0278805017443269,1601.5702080886906,830.8099286079761,855.5679392712616,-6.197278839111336,1.0016217289184663
A,2017,South Korea,1.0027445348730617,1.0852234658296596,446.93090880098595,670.9376707473626,556.8960205101032,-133.1521340675354,0.9995112054171948
A,2017,Rest of World,0.9993645458293788,1.0282317838635264,7.96511307198225,31.028107598851083,26.65979356513671,-5.164942010045053,0.9991596868580334
A,2017,Southeast Asia,0.9992527095998844,1.0332373440985683,348.94361819371755,1403.6737407694434,1414.457211770723,-35.062517150878925,0.9989824010803213
A,2017,"Central, Western and South Asia",0.99711871093273,1.0175995796187516,463.91666904992036,1367.323285463388,1429.2481710630113,9.855717460632334,0.9963969632902113
A,2017,India,0.9999173381523386,1.024270490321014,278.89152047858175,394.0405311105903,519.5258259043529,108.4770244293213,0.9996860527299245
A,2017,Canada,0.9975915061756242,1.0862996124373316,590.3947410246909,471.0916430816894,512.7418165710397,32.964850512623784,0.9969175149425
A,2017,United States,0.9996647372778901,1.0224970143218828,6222.836818116331,2165.1802755698914,2848.003423611635,618.4464428100584,0.9992148048365197
A,2017,Rest of America,0.9994292568473703,1.047470351372786,688.6143199024896,995.8328690052336,997.8208617159966,-25.203875717163097,0.9992105886324391
A,2017,Brazil,0.9993388389050574,1.1129786982386884,648.123004372019,258.18600814590735,231.12381088894614,-33.710240165710445,0.999235973212378
A,2017,"EU, UK and EFTA",0.9998371625613582,1.1255448824835075,7261.21301768015,7459.480963747083,7444.189364277268,-173.0840643920898,0.9997024134603643
A,2017,Eastern Europe,0.9992217379249639,1.1211063058125932,86.4295163196956,141.36111529794823,170.4030228968144,22.509004647254944,0.999282019609517
A,2017,Russia,0.9928945321971494,0.9953015581420851,268.66188825533277,394.4443304034722,281.8356193954577,-121.9565746383667,0.9924220216990106
A,2017,North Africa,0.997002763965523,0.9934399263065647,106.77691682828815,173.47781542830256,217.19183859295055,34.642320316314695,0.9949397799403836
