grid,scenario,year,region,real_GDP,real_consumption,real_investment,nominal_investment,real_exports,real_imports,total_CO2,power_CO2,fossil_energy_Mtoe,carbon_price_2017USD_t,carbon_increment_2024USD_t,carbon_revenue,log_utility,log_unit_expenditure,generation_TWh,renewable_generation_TWh,renewable_capacity_proxy_GW,electricity_price_index,carbon_match_status,macro_productivity
fiveyear_2050,B,2017,Australia_Oceania,1509.3797976987987,835.0510809120212,347.2617437431656,370.8228782116857,395.14768570380943,374.07014728393614,426.6800434206558,193.28946951356744,175.92852252876048,13.460000005430096,0.0,5.743113386786241,6.028777472448966,0.058994886427942504,277.2137289407587,62.070309025125795,23.85281942866046,1.0578727162142831,NOT_APPLICABLE,1.0003736988638863
fiveyear_2050,B,2017,China,12577.997027931751,5063.800174936885,5124.705596941671,5443.688967503807,2880.8934644200785,2673.5622458983757,9745.164500177874,4694.482193949424,3977.614438864212,2.7093911315472175e-9,0.0,2.6260386819451e-8,7.83356067634602,0.06410333667594734,7025.1142314765875,1722.7477258065408,621.3034233434482,0.998177424688034,NOT_APPLICABLE,0.9999766600003124
fiveyear_2050,B,2017,Japan,4868.859334082359,2652.894604189973,1239.749379468523,1249.1679078539735,828.605905165521,857.149724571002,1086.996099474289,514.3779374516894,597.182475770108,13.6,0.0,14.783146952887742,7.183611099117079,0.02710200783576364,1016.9719533703872,168.96216464413988,63.53328163729765,1.0484460583344395,NOT_APPLICABLE,1.0005827939070984
fiveyear_2050,B,2017,South Korea,1532.8940894707616,692.2408055279406,464.28242612273215,502.5636215115412,668.0388412516871,557.7163804178971,521.8664520473415,258.5847461115896,413.68075888008303,18.140000001303466,0.0,9.46665744098087,5.84023333414121,0.08159566551718372,525.0482373149778,19.824162268286443,8.461799091739287,1.092224740908582,NOT_APPLICABLE,1.0005746387521197
fiveyear_2050,B,2017,Rest of World,78.07131031129909,34.16933154782408,26.035687540882847,26.264644902963607,31.06350027859948,26.673892528990923,44.62521036314682,16.873332526075714,12.721128091595762,7.47566348209296e-10,0.0,3.3360305095898386e-11,2.8383215393985703,0.02789014370043617,82.32647227889773,28.495613195644268,15.882002889954194,0.9986061486163091,NOT_APPLICABLE,1.0000051947562145
fiveyear_2050,B,2017,Southeast Asia,2732.781737017649,1565.8561300402657,799.930433706944,813.1364463136903,1405.3463481515967,1414.7309458668349,1500.1038962292857,578.995715898379,764.2760207411598,2.6276599996699393e-12,0.0,-4.824910067328157e-12,6.663029847847282,0.03276086125282451,992.8862001327808,209.51765516491375,61.36771358646591,0.9967362706338684,NOT_APPLICABLE,1.0000218463859054
fiveyear_2050,B,2017,"Central, Western and South Asia",4555.599070192781,2626.1516134253766,1163.3274757195593,1187.318592489171,1373.2677212928659,1431.2414753200899,3072.4296613314414,1144.9420064111964,1835.941108005874,0.0,0.0,-3.614718509735634e-9,7.1782060093927225,0.017945818236378773,2003.0770962310878,208.83727564649794,88.92928166876969,0.9967718357482563,NOT_APPLICABLE,1.0000632421933142
fiveyear_2050,B,2017,India,2597.5826252912,1622.1459075197522,784.8416815716323,797.1244595514146,394.49510863268847,520.5986392495481,2224.226561834662,1114.2930511025395,983.9059786087956,3.8419930521153467e-10,0.0,8.197756052248124e-10,6.69836141501057,0.02400113023578062,1488.6569294813387,232.9582033608531,89.54293835805717,0.9983796188557168,NOT_APPLICABLE,0.9999876184984722
fiveyear_2050,B,2017,Canada,1554.6746463255631,882.2620927110835,363.3030447034999,376.43635104801336,472.51339018609497,512.8948773367571,587.5916569169585,101.67242748055448,325.19376994389444,0.0,0.0,-4.780710073348704e-11,6.090888174469139,0.08309755925877353,663.5567390263154,440.9397366843826,97.74682282934978,0.9973355831840574,NOT_APPLICABLE,1.0000085574389852
fiveyear_2050,B,2017,United States,19183.068018939928,13042.363122703167,4221.817597285302,4056.144844191504,2165.844462582782,2849.233552345636,4848.462893673193,1726.912385770413,2775.658012084041,3.9400000014662586,0.0,19.102943807493315,8.779986110757871,0.022265210400045646,4190.889165972487,651.9716291727766,194.18218852227923,1.0243320895628882,NOT_APPLICABLE,1.0001449444016095
fiveyear_2050,B,2017,Rest of America,3651.5716809789105,2393.9305493458264,723.9584302335585,737.1271918746955,996.8435244621531,998.0730547579504,1274.0899794678878,333.644164560706,689.5297442154651,0.0,0.0,-1.2419162772580782e-10,7.088563669393071,0.04646358188961595,997.7835299542897,408.1065926265375,108.09661412443447,0.9983031437576246,NOT_APPLICABLE,0.9999976668435157
fiveyear_2050,B,2017,Brazil,1910.3144996933613,1188.197868849916,277.67873300568255,297.79949228809613,258.4267327652708,231.2430088920636,456.16581606090597,72.57796945820355,284.9996709016723,0.0,0.0,-4.6220037840023606e-10,6.384578891472814,0.10714488980094031,587.8498782023483,468.1642212295194,135.18138135575103,1.0001025403269423,NOT_APPLICABLE,1.0000010911296826
fiveyear_2050,B,2017,"EU, UK and EFTA",17223.788053815366,9372.984412492546,3717.0041019838122,3967.7201157401787,7455.806907686793,7444.300996556484,3603.7350815641807,1054.607634145013,2110.116509875663,6.240000000204399,0.0,22.48730691076086,8.448197570725007,0.11836965030958174,3481.265908054445,1168.2391282144388,437.55853463125567,1.024171804453738,NOT_APPLICABLE,1.000201945540916
fiveyear_2050,B,2017,Eastern Europe,282.248894624932,185.89691909792597,61.15723304504083,64.08662746307525,141.5517931991491,170.65874958650684,357.8586235299799,182.02305183483148,161.99312111215616,0.010000001406159123,0.0,0.0035785867441081864,4.527937112550261,0.11465252014157208,206.08380360865974,18.284922217625017,20.254875755020826,0.9975696069462473,NOT_APPLICABLE,0.9998673298725127
fiveyear_2050,B,2017,Russia,1561.0085843817221,823.4219286305718,339.01239519482033,340.0938015437529,397.62243121302845,282.434251141732,1601.8197441158088,796.8993037078757,986.7599687859941,3.6153340982481654e-11,0.0,4.544727490974428e-11,6.018693282970119,-0.0034593571927638792,1094.8884178403578,190.50125058022005,50.813551846058125,0.9939589313665707,NOT_APPLICABLE,1.0001167343354946
fiveyear_2050,B,2017,North Africa,622.1686664483653,403.9056394604379,150.6397462248526,152.61735893705944,174.46062368718995,217.57439411350353,501.1832414004184,177.57080669993167,272.70928010315276,6.281719250461208e-11,0.0,2.9300287643346244e-11,5.2989739645530225,-0.00578640527266481,343.49694941801357,20.858817912979006,7.2938492316925725,0.9954678187864066,NOT_APPLICABLE,1.0001023985021573
fiveyear_2050,B,2017,Sub Saharan,1295.507775569084,907.7210906119807,303.747030712958,309.8739445444498,279.02843169919925,346.84536089693904,356.8984579976356,69.35987931606215,148.15054751706506,0.0,0.0,9.503186039939813e-13,6.115170208635066,0.02795031462224986,196.750292080553,107.65241408246922,28.885046239477013,0.997951442392009,NOT_APPLICABLE,1.0000388814031422
fiveyear_2050,B,2017,South Africa,366.53636808513755,211.70406359663707,58.23887324874405,58.67070348358261,126.29575193414321,101.3672702864141,435.9915658771663,226.68121987882367,153.19803928239057,0.0,0.0,4.3741420407782026e-11,4.660786245028013,0.0649010352732933,257.09601862221973,13.806017878944598,5.308934099478502,0.9975494585554794,NOT_APPLICABLE,1.0000019237388154
fiveyear_2050,B,2020,Australia_Oceania,1603.6443320126607,901.4072846365634,376.4929296950699,432.4005810768904,415.4818975262161,416.497753232904,447.3512318556539,196.82763368169432,183.7333687327961,14.299999994973287,0.0,6.3971226132808345,6.17681814080136,0.13282685843381967,289.418896598288,71.19574030682323,29.094057572048985,1.1629180473718856,NOT_APPLICABLE,1.0361280050317996
fiveyear_2050,B,2020,China,15214.274125029104,6426.026099773985,5714.218613753604,6065.871010682042,3409.084164034977,3014.2180956211187,10910.375143919502,5346.180480510805,4464.043136045198,0.0,0.0,-1.1892961388332391e-8,8.264843988578402,0.07280596209337145,8348.48810427637,2190.2649526760065,897.5650829869159,1.0159018931775756,NOT_APPLICABLE,1.1603564219315563
fiveyear_2050,B,2020,Japan,4961.244810744495,2729.0404381059634,1271.9790400761995,1379.4626686564961,861.0964147155817,918.5872585608209,1145.2879585208325,526.1200965522271,622.2115807241285,5.579999999887387,0.0,6.390706808418421,7.2402246557157826,0.10167244033991085,1034.1982262691406,184.8127962747676,72.69741787918359,1.1064014757539746,NOT_APPLICABLE,1.0320295276030136
fiveyear_2050,B,2020,South Korea,1663.522792040314,751.9596497764236,517.0405584771468,595.6626680308049,716.3826821119961,612.2906074452319,506.6985477845364,233.0381286296634,423.279144515467,32.78999999947631,0.0,16.614645381679033,5.999315735449439,0.14664712418370765,524.849418217903,30.603676334409165,14.738229662123622,1.2246304782804227,NOT_APPLICABLE,1.0707394942041755
fiveyear_2050,B,2020,Rest of World,85.00998327355524,37.796614200402054,29.20569888602536,31.105844232383056,33.68121407162152,30.513636562015392,46.633326743663176,17.835225891934346,13.373492337127898,1.9124213554109777e-10,0.0,8.918256705914346e-12,3.0306881027017587,0.08095259826957374,86.6615943206246,29.626790161463557,21.236395821795263,1.0677354324913861,NOT_APPLICABLE,1.0692788313698545
fiveyear_2050,B,2020,Southeast Asia,3165.4480178264675,1792.566297146264,921.6696071938647,954.9401884970185,1592.8293747445198,1590.0809169662762,1562.8603964523002,578.7435815828178,808.9671286921374,3.5099999999958413,0.0,5.485639991540924,6.917024197372761,0.05729694314267434,1070.7996714671672,271.217216136399,90.27800596332166,1.0576242635820667,NOT_APPLICABLE,1.1548128161484448
