grid,scenario,year,region,technology,generation_TWh,capacity_proxy_GW,capacity_status,reference_CF,generation_price_2024USD_MWh,capital_efficiency,labor_efficiency,capital_service_expenditure,preference
fiveyear_2050,B,2017,Australia_Oceania,Coal_Power,147.86461576873475,30.69004063278014,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.5500000000000002,99.27304421167128,1.0003736988638863,1.0003736988638863,1.9986117880804573,0.5783983901552018
fiveyear_2050,B,2017,Australia_Oceania,Oil_Power,5.618165662137233,2.56537244846449,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.25,426.6335205145622,1.0003736988638863,1.0003736988638863,0.0326337218460938,0.16585709459565157
fiveyear_2050,B,2017,Australia_Oceania,Gas_Power,60.982948630362124,15.470052925003072,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.45000000000000007,106.81034671463003,1.0003736988638863,1.0003736988638863,0.32547058279242225,0.2374816695751239
fiveyear_2050,B,2017,Australia_Oceania,Nuclear,0.6776898543987925,0.09670231940622039,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.8,0.08460667486300774,1.0003736988638863,1.0003736988638863,1.1811803405419682e-6,1.8327332857030628e-9
fiveyear_2050,B,2017,Australia_Oceania,Hydro,41.877968934338696,14.718495019893965,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.3248015544072935,67.61648115649771,1.0000747397727772,1.0000747397727772,1.588778228509326,0.06436896850195425
fiveyear_2050,B,2017,Australia_Oceania,Wind,12.799879588255155,5.359583567953097,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.27262817165792275,39.11453005238829,0.9047175630467402,0.9047175630467402,0.22867108585226148,0.008540477157487557
fiveyear_2050,B,2017,Australia_Oceania,Solar,3.046732062487544,2.792868891923657,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.12453161147665966,61.1555882289478,0.545850260181068,0.545850260181068,0.10189920924620557,0.006997497590196013
fiveyear_2050,B,2017,Australia_Oceania,Biomass,4.345728440044397,0.9818719488897416,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.505246862411346,163.6664630537623,1.0003736988638863,1.0003736988638863,0.1971386444633882,0.01947423485008095
fiveyear_2050,B,2017,China,Coal_Power,4722.337980733847,980.1448693926621,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.55,75.34856619146682,0.9999766600003124,0.9999766600003124,30.41066382220534,0.598438951997739
fiveyear_2050,B,2017,China,Oil_Power,22.970836292440534,10.488966343580152,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.25,669.3225530448398,0.9999766600003124,0.9999766600003124,0.56165072129658,0.04860878545989412
fiveyear_2050,B,2017,China,Gas_Power,288.15693634624483,73.09917208174652,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.45000000000000007,150.92196081833308,0.9999766600003124,0.9999766600003124,4.387913906679713,0.1197784009316965
fiveyear_2050,B,2017,China,Nuclear,268.9007522975153,38.37054113834407,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.8000000000000002,74.34610500591185,0.9999766600003124,0.9999766600003124,4.8696846550695625,0.05435656091532305
fiveyear_2050,B,2017,China,Hydro,1207.5307323872078,309.96329427346046,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.44471708929248893,51.220467657735234,0.9999953320001094,0.9999953320000625,36.83423352271546,0.08656882854152556
fiveyear_2050,B,2017,China,Wind,299.1716681863047,164.49471117150986,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.20761772018698124,63.59946253417911,1.0,1.0,9.809891294185993,0.05500172399024384
fiveyear_2050,B,2017,China,Solar,119.58538813735592,130.92796683249182,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.1042657298203161,50.333307808907385,1.0,1.0,3.4977726703899927,0.02907337332372101
fiveyear_2050,B,2017,China,Biomass,96.45993709567233,15.91745106598612,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.6917821388994264,201.7368463915635,0.9999766600003124,0.9999766600003124,5.458330530823592,0.32719468382276273
fiveyear_2050,B,2017,Japan,Coal_Power,327.9140372277619,68.0601986774101,GENERATION_DIVIDED_BY_FIXED_REFERENCE_CF,0.55,159.75857892626945,1.0005827939070984,1.0005827939070984,3.9403757496421505,0.3093766744294519
