year,source_year,region,technology,baseline_tfp,cf_tfp,tfp_multiplier,alpha,mapping_status,countries
2020,2020,China,pv,1.7992140675587056,1.7992140675587056,1.0,1.0,China_no_inward_shock,CHN
2020,2020,Japan,pv,1.2208705555629447,1.0883856365200588,0.8914832383832888,1.0,observed_capacity_weighted,JPN
2020,2020,South Korea,pv,1.6864490160067658,1.3982488656809304,0.8291082934672724,1.0,observed_capacity_weighted,KOR
2020,2020,Rest of World,pv,1.4326117611494549,1.4326117611494549,1.0,1.0,uncovered_neutral_legacy_reference,
2020,2020,Southeast Asia,pv,1.4326117611494549,1.4326117611494549,1.0,1.0,uncovered_neutral_legacy_reference,
2020,2020,"Central, Western and South Asia",pv,1.4326117611494549,1.4326117611494549,1.0,1.0,uncovered_neutral_legacy_reference,
2020,2020,India,pv,1.8942370708224052,1.5063394658429008,0.7952222501848228,1.0,observed_capacity_weighted,IND
2020,2020,Canada,pv,1.4326117611494549,1.4326117611494549,1.0,1.0,uncovered_neutral_legacy_reference,
2020,2020,United States,pv,1.6927461619613435,1.427570557835489,0.8433459132356843,1.0,observed_capacity_weighted,USA
2020,2020,Rest of America,pv,1.4326117611494549,1.4326117611494549,1.0,1.0,uncovered_neutral_legacy_reference,
2020,2020,Brazil,pv,1.5211611038385016,1.125986619473209,0.7402152320565467,1.0,observed_capacity_weighted,BRA
2020,2020,"EU, UK and EFTA",pv,1.4649578515701767,1.237372130566584,0.8446469154319621,1.0,observed_capacity_weighted,"DEU,ESP,FRA,ITA"
2020,2020,Eastern Europe,pv,1.4326117611494549,1.4326117611494549,1.0,1.0,uncovered_neutral_legacy_reference,
2020,2020,Russia,pv,1.4326117611494549,1.4326117611494549,1.0,1.0,uncovered_neutral_legacy_reference,
2020,2020,North Africa,pv,1.4326117611494549,1.4326117611494549,1.0,1.0,uncovered_neutral_legacy_reference,
2020,2020,Sub Saharan,pv,1.4326117611494549,1.4326117611494549,1.0,1.0,uncovered_neutral_legacy_reference,
2020,2020,South Africa,pv,1.4326117611494549,1.4326117611494549,1.0,1.0,uncovered_neutral_legacy_reference,
2021,2021,Australia_Oceania,pv,2.0192199059134404,1.5949594224576498,0.7898889159059341,1.0,observed_capacity_weighted,AUS
2021,2021,China,pv,1.9310987520576286,1.9310987520576286,1.0,1.0,China_no_inward_shock,CHN
2021,2021,Japan,pv,1.3686137121938498,1.2064406555056602,0.8815056029007405,1.0,observed_capacity_weighted,JPN
2021,2021,South Korea,pv,1.7628437240374084,1.4601608301087405,0.8282985100713075,1.0,observed_capacity_weighted,KOR
2021,2021,Rest of World,pv,1.57647951881605,1.57647951881605,1.0,1.0,uncovered_neutral_legacy_reference,
2021,2021,Southeast Asia,pv,1.57647951881605,1.57647951881605,1.0,1.0,uncovered_neutral_legacy_reference,
2021,2021,"Central, Western and South Asia",pv,1.57647951881605,1.57647951881605,1.0,1.0,uncovered_neutral_legacy_reference,
2021,2021,India,pv,1.9836532330401515,1.5981814085164963,0.8056758015447689,1.0,observed_capacity_weighted,IND
2021,2021,Canada,pv,1.57647951881605,1.57647951881605,1.0,1.0,uncovered_neutral_legacy_reference,
2021,2021,United States,pv,1.8086060062820597,1.5357328088210458,0.8491251292358817,1.0,observed_capacity_weighted,USA
2021,2021,Rest of America,pv,1.57647951881605,1.57647951881605,1.0,1.0,uncovered_neutral_legacy_reference,
2021,2021,Brazil,pv,2.1572863332651933,1.6467629258404368,0.7633492598768536,1.0,observed_capacity_weighted,BRA
2021,2021,"EU, UK and EFTA",pv,1.5395900152037982,1.3049380618761781,0.8475880260261633,1.0,observed_capacity_weighted,"DEU,ESP,FRA,ITA"
2021,2021,Eastern Europe,pv,1.57647951881605,1.57647951881605,1.0,1.0,uncovered_neutral_legacy_reference,
2021,2021,Russia,pv,1.57647951881605,1.57647951881605,1.0,1.0,uncovered_neutral_legacy_reference,
2021,2021,North Africa,pv,1.57647951881605,1.57647951881605,1.0,1.0,uncovered_neutral_legacy_reference,
2021,2021,Sub Saharan,pv,1.57647951881605,1.57647951881605,1.0,1.0,uncovered_neutral_legacy_reference,
2021,2021,South Africa,pv,1.57647951881605,1.57647951881605,1.0,1.0,uncovered_neutral_legacy_reference,
2022,2022,Australia_Oceania,pv,2.3954847081426296,1.8732528190163351,0.781993227779269,1.0,observed_capacity_weighted,AUS
2022,2022,China,pv,1.814586795163984,1.814586795163984,1.0,1.0,China_no_inward_shock,CHN
2022,2022,Japan,pv,1.30135886630632,1.1447685029168155,0.8796716513455209,1.0,observed_capacity_weighted,JPN
2022,2022,South Korea,pv,1.3259050082954398,1.0871846513790993,0.8199566670140003,1.0,observed_capacity_weighted,KOR
2022,2022,Rest of World,pv,1.7701891530347975,1.7701891530347975,1.0,1.0,uncovered_neutral_legacy_reference,
2022,2022,Southeast Asia,pv,1.7701891530347975,1.7701891530347975,1.0,1.0,uncovered_neutral_legacy_reference,
2022,2022,"Central, Western and South Asia",pv,1.7701891530347975,1.7701891530347975,1.0,1.0,uncovered_neutral_legacy_reference,
2022,2022,India,pv,1.9538529504703217,1.5476342262923304,0.7920935021848966,1.0,observed_capacity_weighted,IND
2022,2022,Canada,pv,1.7701891530347975,1.7701891530347975,1.0,1.0,uncovered_neutral_legacy_reference,
2022,2022,United States,pv,1.8779869900091766,1.5774526598010836,0.839969961556217,1.0,observed_capacity_weighted,USA
2022,2022,Rest of America,pv,1.7701891530347975,1.7701891530347975,1.0,1.0,uncovered_neutral_legacy_reference,
